編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
RPTNMLMJJHJGFAU98CB,升降平面,1600000,39.31,地下一樓
RPQNMLSJJHJGFAU66CB,坡道平面,1200000,24.75,地下二樓
RPPNMLSJJHJGFAU56CB,其他,1500000,26.86,地下一樓
RPUNMLSJJHJGFAU07CB,坡道平面,1000000,33.82,地下一樓
RPSNMLTJJHJGFAU96CB,坡道平面,1200000,24.72,地下二樓
RPTNMLTJJHJGFAU07CB,坡道平面,1200000,24.72,地下二樓
RPVNMLTJJHJGFAU27CB,坡道平面,1100000,22.74,地下二樓
RPUNMLTJJHJGFAU17CB,坡道平面,1200000,24.72,地下二樓
RPPNMLLKJHJGFAU58CB,坡道平面,1200000,26.75,地下一樓
RPWNMLTJJHJGFAU37CB,坡道平面,1300000,24.72,地下一樓
RPQNMLLKJHJGFAU68CB,升降機械,600000,5.15,一樓
RPRNMLPKJHJGFAU56CB,一樓平面,1200000,13.21,一樓
RPRNMLKLJHJGFAU78CB,坡道平面,1700000,24.72,地下三樓
RPQNMLQKJHJGFAU56CB,坡道機械,700000,9.26,地下二樓
RPPNMLQKJHJGFAU09CB,坡道機械,1100000,9.26,地下二樓
RPSNMLKLJHJGFAU88CB,坡道平面,1700000,24.72,地下三樓
RPQNMLNLJHJGFAU98CB,坡道平面,1800000,25.00,地下一樓
RPRNMLNLJHJGFAU09CB,坡道機械,700000,9.26,地下二樓
RPPNMLNLJHJGFAU98DB,升降機械,700000,7.36,一樓
RPSNMLOLJHJGFAU66CB,坡道平面,495000,13.75,地下一樓
RPQNMLOLJHJGFAU09CB,坡道平面,1500000,41.49,地下二樓
RPTNMLNLJHJGFAU76DB,其他,600000,,一樓
RPVNMLOLJHJGFAU96CB,升降機械,700000,5.15,一樓
RPQNMLPLJHJGFAU56CB,一樓平面,1300000,26.75,一樓
RPQNMLLMJHJGFAU88CB,一樓平面,1000000,13.75,一樓
RPQNMLLMJHJGFAU98DB,其他,1700000,34.10,一樓
RPPNMLMJKHJGFAU68CB,坡道平面,1200000,24.75,地下二樓
RPPNMLPJKHJGFAU98CB,坡道平面,1300000,26.75,一樓
RPRNMLPJKHJGFAU56CB,坡道平面,495000,13.75,地下一樓
RPPNMLQJKHJGFAU09CB,一樓平面,1250000,13.75,一樓
RPSNMLRJKHJGFAU86CB,其他,1200000,13.75,一樓
RPRNMLRJKHJGFAU76CB,其他,1250000,13.75,一樓
RPPNMLSJKHJGFAU66CB,坡道平面,1900000,24.72,地下一樓
RPQNMLSJKHJGFAU76CB,坡道平面,1800000,24.72,地下二樓
RPRNMLSJKHJGFAU86CB,坡道平面,1800000,24.72,地下二樓
RPSNMLPKKHJGFAU76CB,坡道平面,1800000,39.94,地下二樓
RPPNMLPKKHJGFAU09CB,一樓平面,1200000,9.92,一樓
RPSNMLRLKHJGFAU07CB,一樓平面,1600000,12.65,一樓
RPPNMLLLKHJGFAU88DB,升降平面,1000000,29.90,地下二樓
RPUNMLRLKHJGFAU27CB,一樓平面,1700000,13.75,一樓
RPOPMLRLKHJGFAU86CB,一樓平面,1700000,13.75,一樓
RPXOMLRLKHJGFAU67CB,一樓平面,1700000,13.75,一樓
RPSNMLTLKHJGFAU37DB,一樓平面,1400000,13.75,一樓
RPPNMLLJLHJGFAU68CB,坡道平面,1900000,39.94,地下一樓
RPQNMLOJLHJGFAU09CB,坡道平面,1900000,39.94,地下一樓
