鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
富里鄉,土地,泥火山段666地號,3641.74,,山坡地保育區,農牧用地,1130301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1300000,357,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJLHJGFCU76DA,0.0,0.0,0.0,無,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮中山路一段８８號,106.0,住,,,1130301,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0700113,157.68,3,2,2,有,無,7500000,47565,,0.0,0,,RPPNMLRJLHJGFCU96EA,157.68,0.0,0.0,無,
花蓮市,車位,花蓮縣花蓮市南京街２０５號等１５９戶,0.0,,,,1130205,土地0建物1車位1,,,其他,,,,34.9,0,0,0,無,無,1750000,,坡道平面,0.0,1750000,建物坐落地號：主商段707地號；僅車位交易；,RPRNMLRKKHJGFAU96EA,0.0,0.0,0.0,無,0001
富里鄉,土地,六十石山段856地號,2366.44,,山坡地保育區,農牧用地,1130216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,260000,110,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKKHJGFCU96EA,0.0,0.0,0.0,無,
花蓮市,車位,花蓮縣花蓮市中順街２０號、長安街２６、２７號二樓之一等３５戶,0.0,,,,1130207,土地0建物1車位1,,,其他,,,,14.47,0,0,0,無,有,680000,,坡道平面,0.0,680000,建物坐落地號：福祥段997地號；僅車位交易；,RPRNMLKLKHJGFAU88DA,0.0,0.0,0.0,有,0002
花蓮市,房地(土地+建物),花蓮縣花蓮市榮正街５２號三樓之七,11.27,住,,,1130202,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830428,41.63,1,1,1,有,有,1900000,45640,,0.0,0,,RPPNMLKLKHJGFAU68DA,29.77,0.0,3.55,有,
花蓮市,車位,花蓮縣花蓮市中順街２０號、長安街２６、２７號二樓之一等３５戶,0.0,,,,1130216,土地0建物1車位1,,,其他,,,,14.47,0,0,0,無,有,680000,,坡道平面,0.0,680000,建物坐落地號：福祥段997地號；僅車位交易；,RPUOMLLLKHJGFAU76DA,0.0,0.0,0.0,有,0002
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉中山路三段１１６號,26.8,住,,,1130205,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1111024,87.32000000000001,0,0,1,有,有,7100000,90495,升降機械,14.94,550000,,RPPNMLTKKHJGFAU86DA,57.63,0.0,0.0,有,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中山路二段１１６號,100.0,商,,,1130201,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0681105,304.16,6,3,3,有,無,17800000,58522,,0.0,0,其他增建；,RPRPMLMLKHJGFAU66DA,304.16,0.0,0.0,無,
瑞穗鄉,土地,梧繞段304-1地號,33.95,,山坡地保育區,丙種建築用地,1130217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,350000,10309,,0.0,0,,RPPNMLNLKHJGFCU66EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市上海街８１號六樓之一,10.08,商,,,1130204,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080325,54.66,1,1,1,有,有,4350000,79583,,0.0,0,,RPRQMLNLKHJGFAU86DA,29.22,0.0,6.17,有,0004
吉安鄉,土地,福興段227-14地號,77.0,農,,,1130220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,6494,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPROMLQLKHJGFAU96DA,0.0,0.0,0.0,無,
