編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUOMLLLKHJGFAU76DA,27,14.47,停車空間,鋼筋混凝土造,85年10月29日,十六層,,持分移轉
RPRNMLRKKHJGFAU96EA,6,34.90,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,,持分移轉
RPPNMLTKKHJGFAU86DA,1,57.63,店舖,鋼筋混凝土造,111年10月24日,五層,一層,全筆移轉
RPPNMLTKKHJGFAU86DA,1,14.75,共有部分,鋼筋混凝土造,111年10月24日,五層,,持分移轉
RPPNMLTKKHJGFAU86DA,1,14.94,共有部分（停車空間）,鋼筋混凝土造,111年10月24日,五層,,持分移轉
RPPNMLKLKHJGFAU68DA,30,33.32,住家用,鋼筋混凝土造,83年4月28日,五層,三層 陽台,全筆移轉
RPPNMLKLKHJGFAU68DA,30,8.31,共有部份,鋼筋混凝土造,83年4月28日,五層,,持分移轉
RPRNMLKLKHJGFAU88DA,27,14.47,停車空間,鋼筋混凝土造,85年10月29日,十六層,,持分移轉
RPPNMLRJLHJGFCU96EA,43,157.68,住商用,鋼筋混凝土加強磚造,70年1月13日,三層,一層 二層 三層 騎樓,全筆移轉
RPRPMLMLKHJGFAU66DA,44,304.16,住商用,鋼筋混凝土造,68年11月5日,四層,一層 二層 三層 四層 防空避難室 屋頂突出物 騎樓,全筆移轉
RPRQMLNLKHJGFAU86DA,5,35.39,集合住宅,鋼筋混凝土造,108年3月25日,七層,六層 陽台,全筆移轉
RPRQMLNLKHJGFAU86DA,5,16.49,本共有部分之項目有台電受電室、電信室、電梯安全梯、梯廳及防空避難室等５項,鋼筋混凝土造,108年3月25日,七層,,持分移轉
RPRQMLNLKHJGFAU86DA,5,2.78,停車空間,鋼筋混凝土造,108年3月25日,七層,,持分移轉
RPQNMLRLKHJGFAU86DA,28,27.51,住家用,鋼筋混凝土造,84年8月19日,十一層,二層 陽台 花台,全筆移轉
RPQNMLRLKHJGFAU86DA,28,8.01,共有部份,鋼筋混凝土造,84年8月19日,十一層,,持分移轉
RPTNMLRLKHJGFAU17DA,28,28.77,住家用,鋼筋混凝土造,84年12月6日,五層,三層 陽台,全筆移轉
RPTNMLRLKHJGFAU17DA,28,7.60,共有部份,鋼筋混凝土造,84年12月6日,五層,,持分移轉
RPXPMLMLKHJGFAU27DA,1,179.70,住家用,鋼筋混凝土造,111年11月15日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPXNMLTLKHJGFAU77DA,45,47.12,住家用,鋼筋混凝土加強磚造,68年4月27日,一層,一層,全筆移轉
RPPNMLRLKHJGFAU86EA,34,157.75,住家用,鋼筋混凝土造,79年3月31日,四層,四層 陽台,全筆移轉
RPPNMLRLKHJGFAU86EA,34,18.55,共有部份,鋼筋混凝土造,79年3月31日,四層,,持分移轉
RPPNMLRLKHJGFAU86EA,34,42.74,共有部份,鋼筋混凝土造,79年3月31日,四層,,持分移轉
RPPNMLLJLHJGFCU88DA,40,102.00,住家用,鋼筋混凝土加強磚造,73年2月20日,二層,一層 二層 陽台,全筆移轉
RPPNMLLJLHJGFAU78EA,31,25.30,共有部份,鋼筋混凝土造,82年3月5日,六層,,持分移轉
RPPNMLLJLHJGFAU78EA,31,75.40,住家用,鋼筋混凝土造,82年3月5日,六層,六層 陽台,全筆移轉
RPXNMLQLKHJGFAU47DA,39,84.92,住家用,鋼筋混凝土加強磚造,73年12月11日,二層,一層 二層,全筆移轉
RPQOMLQLKHJGFAU86DA,45,73.20,住家用,鋼筋混凝土加強磚造,67年9月14日,二層,一層 二層 夾層,全筆移轉
RPRNMLPKKHJGFAU66DA,1,52.50,集合住宅,鋼筋混凝土造,112年4月6日,八層,三層 陽台,全筆移轉
RPRNMLPKKHJGFAU66DA,1,33.53,共有部份,鋼筋混凝土造,112年4月6日,八層,,持分移轉
RPVOMLQKKHJGFAU27DA,,.24,管理員室,鋼筋混凝土造,112年11月14日,七層,,持分移轉
RPVOMLQKKHJGFAU27DA,,62.72,集合住宅,鋼筋混凝土造,112年11月14日,七層,三層 陽台,全筆移轉
RPVOMLQKKHJGFAU27DA,,18.12,共有部份,鋼筋混凝土造,112年11月14日,七層,,持分移轉
RPSRMLMLKHJGFAU96DA,,.24,管理員室,鋼筋混凝土造,112年11月14日,七層,,持分移轉
RPSRMLMLKHJGFAU96DA,,62.72,集合住宅,鋼筋混凝土造,112年11月14日,七層,六層 陽台,全筆移轉
RPSRMLMLKHJGFAU96DA,,18.12,共有部份,鋼筋混凝土造,112年11月14日,七層,,持分移轉
RPRNMLLJLHJGFBU98DA,34,77.31,農舍,鋼筋混凝土加強磚造,79年1月25日,一層,一層,持分移轉
RPWNMLOJLHJGFAU07DA,20,128.90,住家用,鋼筋混凝土加強磚造及鋼骨空心磚造,93年6月21日,二層,一層 二層 陽台,全筆移轉
RPTNMLQKKHJGFAU96DA,43,101.56,住家用,鋼筋混凝土加強磚造,70年3月28日,二層,一層 二層,全筆移轉
RPROMLLJLHJGFAU98DA,,.24,管理員室,鋼筋混凝土造,112年11月14日,七層,,持分移轉
RPROMLLJLHJGFAU98DA,,74.07,集合住宅,鋼筋混凝土造,112年11月14日,七層,三層 陽台,全筆移轉
RPROMLLJLHJGFAU98DA,,21.28,共有部份,鋼筋混凝土造,112年11月14日,七層,,持分移轉
RPROMLLJLHJGFAU98DA,,21.72,共有部分（停車空間）,鋼筋混凝土造,112年11月14日,七層,,持分移轉
