鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海七街,20.91,住,,,1121111,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.64,2,2,2,有,無,7120000,75232,,0.0,0,,RPPNMLNKJIIGFAU78CB,日出好學,E棟4號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,20.91,住,,,1121113,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.39,2,2,2,有,無,8520000,75232,坡道平面,24.75,1400000,,RPXNMLNKJIIGFAU96CB,日出好學,A棟5號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,26.56,住,,,1121113,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.94,3,2,2,有,無,11030000,80123,坡道平面,24.75,1400000,,RPOOMLNKJIIGFAU78CB,日出好學,B棟13號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里二街與東里三街,27.26,住,,,1121111,土地2建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,85.15,2,2,1,有,無,5880000,69055,,0.0,0,,RPPNMLQKJIIGFAU09CB,卓越,1棟2E號,
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉民生路,41.24,住,,,1121113,土地1建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.62,3,2,2,有,無,10700000,78383,坡道平面,15.0,540000,,RPQNMLQKJIIGFAU56CB,千悅藏馥二期B、C區,C棟07號,
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中山路七段12巷,214.56,農,,,1121118,土地5建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,153.16,3,2,4,有,無,10750000,70188,,0.0,0,俟後依使用執照設計，土底分割成五筆，詳如第二十二欄位，土地標的清冊所示。本買賣包含私設巷道、道路退縮及保留地。,RPPNMLTKJIIGFAU76CB,禾楓別苑,A棟5號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里五街,36.73,住,,,1121118,土地1建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,147.54,3,2,2,有,無,10320000,75503,坡道平面,26.75,1200000,,RPQNMLTKJIIGFAU86CB,吉美登峰1,B棟5號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉荳蘭三街,30.57,商,,,1121115,土地2建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,185.27,0,0,2,有,無,11370000,63526,坡道平面,29.9,1500000,本戶無隔間、無地磚。毛胚屋；,RPPNMLKLJIIGFAU68DB,吉安之星,A棟3F-3號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市民生路31號旁,14.91,商,,,1121117,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.47,3,1,2,有,無,11650000,87916,坡道平面,28.0,1850000,,RPPNMLLLJIIGFAU68CB,三銳海景,A棟2號,
