鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街39號旁,28.01,住,,,1121116,土地2建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.45,3,2,2,有,無,12280000,96581,坡道平面,39.94,1800000,,RPQNMLLLJIIGFAU78CB,天麗,A棟7F號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福興二街,27.34,住,,,1121120,土地2建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.07,2,2,2,有,無,5650000,72371,,0.0,0,,RPPNMLNLJIIGFAU88CB,福華苑,2A號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里二街與東里三街,31.98,住,,,1121116,土地2建物1車位1,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,113.46,2,2,2,有,無,8479200,72610,一樓平面,13.21,1200000,,RPQNMLNLJIIGFAU98CB,卓越,1棟4G號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里二街與東里三街,27.26,住,,,1121116,土地2建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,85.15,2,2,1,有,無,5880000,69055,,0.0,0,,RPRNMLNLJIIGFAU09CB,卓越,1棟2D號,
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕十街,15.49,住,,,1121114,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,52.2,1,1,1,有,無,5010000,95977,,0.0,0,,RPPNMLSLJIIGFAU76CB,典藏拉菲爾,1棟7D號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里二街與東里三街,31.98,住,,,1121125,土地2建物1車位1,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,113.46,2,2,2,有,無,8781700,75628,一樓平面,13.21,1200000,,RPQNMLSLJIIGFAU86CB,卓越,1棟6F號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福興二街,27.34,住,,,1121118,土地2建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,78.67,2,2,2,有,無,5450000,69277,,0.0,0,,RPSNMLTLJIIGFAU17CB,福華苑,1棟2B號,
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉復興路,279.1,農,,,1121118,土地5建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,274.3,3,2,4,有,無,18400000,68781,坡道平面,13.72,477000,,RPPNMLKMJIIGFAU68CB,藝川天闊AB區,B棟02號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉中原路一段,25.0,住,,,1121119,土地2建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.94,2,2,2,有,無,9000000,81781,坡道平面,25.34,1100000,,RPPNMLLJKIIGFAU58CB,馥鈺,E棟9樓號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中原路一段,25.0,住,,,1121119,土地2建物1車位0,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.6,2,2,2,有,無,7900000,81781,,0.0,0,,RPQNMLLJKIIGFAU68CB,馥鈺,B棟9樓號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中華路,33.57,住,,,1121202,土地2建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,153.26,3,2,3,有,無,11832500,75617,升降機械,7.36,800000,,RPPNMLOJKIIGFAU98DB,富貴傳家—中華大樓,1棟2F-A號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,9.12,商,,,1121127,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,1,有,無,6500000,97847,,0.0,0,,RPQNMLPJKIIGFAU09CB,?富,1棟3C號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,9.12,商,,,1121127,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,1,有,無,6600000,99353,,0.0,0,,RPRNMLPJKIIGFAU56CB,?富,1棟4C號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街129號,10.23,商,,,1121202,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,113.88,2,2,1,有,無,9080000,102990,升降平面,39.31,1400000,,RPSNMLPJKIIGFAU66CB,?富,1棟7D號,
花蓮市,房地(土地+建物),花蓮縣花蓮市豐村95號旁,129.12,農,,,1121115,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,190.94,4,2,5,有,無,16500000,86415,,0.0,0,,RPRNMLQJKIIGFAU66CB,美之硯三期B區,B棟3號,
花蓮市,房地(土地+建物)+車位,花蓮縣吉安鄉太昌路428巷,24.26,,鄉村區,乙種建築用地,1121126,土地2建物0車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.71,2,2,2,有,無,7180000,70259,一樓平面,13.75,1000000,,RPUNMLQJKIIGFAU96CB,駿騰大展,A棟1號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕十街,28.54,住,,,1121129,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.1,2,2,1,有,無,10760000,95258,一樓平面,32.94,1600000,,RPVNMLQJKIIGFAU07CB,典藏拉菲爾,1棟7B號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,20.91,住,,,1121201,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.39,2,2,2,有,無,8600000,76078,坡道平面,24.75,1400000,,RPPNMLRJKIIGFAU56CB,日出好學,A棟6號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中原路533巷,17.54,商,,,1121130,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.93,3,2,2,有,無,11990000,105121,一樓平面,23.14,1500000,,RPQNMLSJKIIGFAU76CB,中原學賦,B棟10樓號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,20.91,住,,,1121210,土地1建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.14,2,2,2,有,無,9730000,77451,坡道平面,49.5,2400000,,RPPNMLLKKIIGFAU68CB,日出好學,A棟7號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里五街,28.4,住,,,1121118,土地1建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.42,2,2,2,有,無,7500000,80283,,0.0,0,,RPQNMLLKKIIGFAU78CB,吉美登鋒1,C棟2號,
花蓮市,房地(土地+建物),花蓮縣花蓮市花蓮市富陽路,12.96,住,,,1121122,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,52.59,1,1,1,有,無,4057000,77144,,0.0,0,,RPPNMLMKKIIGFAU78CB,風華居二期,1棟2C號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中正路二段300巷,23.7,,特定農業區,甲種建築用地,1121208,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,75.82,2,2,2,有,無,6091000,80335,,0.0,0,,RPSNMLNKKIIGFAU56CB,沐晨,1棟3-B號,
新城鄉,房地(土地+建物),花蓮縣新城鄉民生路,28.37,住,,,1121202,土地1建物1車位0,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.16,2,0,2,有,無,6700000,75146,,0.0,0,,RPUNMLNKKIIGFAU76CB,千悅藏馥二期B、C區,B棟03號,
花蓮市,房地(土地+建物)+車位,花蓮縣吉安鄉中央路三段與勝安四街交接處,27.04,住,,,1121211,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.34,2,2,1,有,無,7100000,86265,升降機械,5.15,700000,,RPPNMLOKKIIGFAU98CB,沐谷川流,B棟3-1號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街,32.73,住,,,1121201,土地1建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.79,3,2,2,有,無,9350000,78710,,0.0,0,,RPQNMLOKKIIGFAU09CB,欣悅敦峰,B棟02號,1130304全部解約
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉昌隆三街,26.68,住,,,1121201,土地1建物1車位1,一層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.37,2,2,1,有,無,10800000,95995,坡道平面,41.49,1500000,,RPRNMLOKKIIGFAU56CB,欣悅敦峰,A棟05號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中原路533巷,11.57,商,,,1121204,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,81.05,2,2,2,有,無,8150000,112401,升降機械,13.88,600000,,RPSNMLOKKIIGFAU66CB,中原學賦,D棟13樓號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中原路533巷,17.54,商,,,1121205,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.93,3,2,2,有,無,10580000,91518,升降機械,13.88,600000,,RPTNMLOKKIIGFAU76CB,中原學賦,A棟8樓號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉勝安二街,36.16,住,,,1121128,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,118.82,2,2,2,有,無,9000000,78510,一樓平面,19.47,1200000,,RPPNMLPKKIIGFAU09CB,勝安居,1棟5B號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉勝安二街,36.16,住,,,1121127,土地2建物1車位0,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,99.35,2,2,2,有,無,7100000,71465,,0.0,0,,RPQNMLPKKIIGFAU56CB,勝安居,1棟3B號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福德街,74.0,住,,,1121127,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,160.71,4,2,4,有,無,12100000,75291,,0.0,0,,RPSNMLPKKIIGFAU86DB,厚德,A5棟A5號,
花蓮市,房地(土地+建物)+車位,花蓮縣吉安鄉中央路三段與勝安四街交接處,30.15,住,,,1121130,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.96,2,2,2,有,無,8320000,94295,升降機械,5.15,700000,,RPRNMLTKKIIGFAU07CB,沐谷川流,A棟2號,
花蓮市,房地(土地+建物)+車位,花蓮縣吉安鄉中央路三段與勝安四街交接處,27.04,住,,,1121210,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.34,2,2,2,有,無,6780000,83300,升降機械,5.15,600000,,RPSNMLTKKIIGFAU17CB,沐谷川流,A棟3號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里九街,40.82,住,,,1121213,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.31,3,2,2,有,無,8500000,71521,坡道平面,12.65,800000,,RPTNMLTKKIIGFAU27CB,荔鑫莊園二期,0號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,20.91,住,,,1121220,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.39,2,2,2,有,無,8750000,79776,坡道平面,24.75,1200000,,RPPNMLKLKIIGFAU68CB,日出好學,E棟12號,
花蓮市,房地(土地+建物),花蓮縣花蓮市民生路31號旁,10.5,商,,,1121218,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,78.73,2,1,2,有,無,6380000,81036,,0.0,0,,RPPNMLLLKIIGFAU78CB,三銳海景,A棟6號,
新城鄉,房地(土地+建物),花蓮縣新城鄉民生路,29.34,住,,,1121210,土地1建物1車位0,一層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,92.19,2,0,2,有,無,7550000,81896,,0.0,0,,RPQNMLLLKIIGFAU88CB,千悅藏馥二期B、C區,B棟03號,
新城鄉,房地(土地+建物),花蓮縣新城鄉民生路,30.33,住,,,1121210,土地1建物1車位0,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.36,2,0,2,有,無,7000000,73406,,0.0,0,,RPRNMLLLKIIGFAU98CB,千悅藏馥二期B、C區,C棟05號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,9.12,商,,,1121126,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,1,有,無,5980000,90020,,0.0,0,,RPPNMLPLKIIGFAU56CB,?富,1棟3B號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,9.12,商,,,1121222,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,1,有,無,6580000,99052,,0.0,0,,RPQNMLPLKIIGFAU66CB,?富,1棟4B號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街129號,10.98,商,,,1121205,土地1建物1車位1,五層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,119.32,2,2,1,有,無,8900000,93738,升降平面,39.31,1400000,,RPRNMLPLKIIGFAU76CB,?富,1棟5A號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,9.12,商,,,1121202,土地1建物1車位0,六層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,1,有,無,7000000,105374,,0.0,0,,RPSNMLPLKIIGFAU86CB,?富,1棟6C號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市豐村,40.39,住,,,1121210,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.39,3,2,2,有,無,9160000,80783,一樓平面,0.0,1150000,本戶購買停車位於法定空地上約定專用,RPTNMLPLKIIGFAU96CB,冠軍悅山,A棟1號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市豐村,37.27,住,,,1121211,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.57,3,2,2,有,無,8850000,84632,一樓平面,0.0,1150000,本戶購買停車位於法定空地上約定專用,RPUNMLPLKIIGFAU07CB,冠軍悅山,A棟6號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,8.9,商,,,1121218,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,103.29,2,2,1,有,無,9300000,96729,坡道平面,24.72,1700000,,RPVNMLPLKIIGFAU17CB,超綻,C棟5-07F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,14.24,商,,,1121213,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.01,3,2,2,有,無,13900000,95778,坡道平面,24.72,1900000,,RPWNMLPLKIIGFAU27CB,超綻,D棟3-08F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,13.94,商,,,1121218,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.57,3,2,2,有,無,12900000,90275,坡道平面,24.72,1900000,,RPXNMLPLKIIGFAU37CB,超綻,D棟6-07F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,13.94,商,,,1121205,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.57,3,2,2,有,無,13020000,92080,坡道平面,24.72,1800000,,RPOOMLPLKIIGFAU56CB,超綻,D棟6-10F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街39號旁,28.01,住,,,1121127,土地2建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.45,3,2,2,有,無,11950000,92618,坡道平面,39.94,1900000,,RPPOMLPLKIIGFAU66CB,天麗,A棟4F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街39號旁,28.01,住,,,1121127,土地2建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,148.4,3,2,2,有,無,12380000,96625,坡道平面,39.94,1900000,,RPQOMLPLKIIGFAU76CB,天麗,B棟5F號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,10.98,商,,,1121220,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,80.01,2,2,1,有,無,7280000,90989,,0.0,0,,RPQNMLRLKIIGFAU86CB,?富,1棟3A號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,10.98,商,,,1121227,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,80.01,2,2,1,有,無,7400000,92488,,0.0,0,,RPRNMLRLKIIGFAU96CB,?富,1棟4A號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東里五街,37.27,住,,,1121226,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,149.35,3,2,2,有,無,10450000,75449,坡道平面,26.75,1200000,,RPPNMLTLKIIGFAU96CB,吉美登鋒1,A棟4號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,10.23,商,,,1121229,土地1建物1車位0,四層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,74.57,2,2,1,有,無,7360000,98699,,0.0,0,,RPPNMLKMKIIGFAU78CB,?富,1棟4D號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕十街,28.58,住,,,1121225,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.22,2,2,1,有,無,9800000,85168,一樓平面,32.94,1600000,,RPPNMLMJJHJGFAU58CB,典藏拉菲爾,1棟4A號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市中正路315巷2弄,20.21,商,,,1130102,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.6,4,2,2,有,無,15260000,94467,坡道平面,25.0,1600000,,RPQNMLMJJHJGFAU68CB,三上御景,A棟1號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉中正路二段300巷,23.7,,特定農業區,甲種建築用地,1121207,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.2,2,2,2,有,無,7583000,92232,一樓平面,13.38,590000,,RPRNMLMJJHJGFAU78CB,沐晨,1棟7-A號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,10.23,商,,,1121227,土地1建物1車位0,五層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,74.57,2,2,1,有,無,7580000,101649,,0.0,0,,RPSNMLMJJHJGFAU88CB,?富,1棟5D號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街129號,10.98,商,,,1130101,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,119.32,2,2,1,有,無,9990000,104862,升降平面,39.31,1600000,,RPTNMLMJJHJGFAU98CB,?富,1棟7A號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,9.12,商,,,1130101,土地1建物1車位0,七層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,1,有,無,7410000,111546,,0.0,0,,RPUNMLMJJHJGFAU09CB,?富,1棟7B號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕三街,26.78,住,,,1121209,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.62,2,2,2,有,無,11100000,108157,其他,26.86,1500000,,RPPNMLSJJHJGFAU56CB,羅馬傳家寶,1棟2C號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,20.91,住,,,1130104,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.39,2,2,2,有,無,8390000,75972,坡道平面,24.75,1200000,,RPQNMLSJJHJGFAU66CB,日出好學,E棟6號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉昌隆三街,24.09,住,,,1121224,土地1建物1車位1,一層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.93,2,2,1,有,無,9700000,93779,坡道平面,41.49,1500000,,RPSNMLSJJHJGFAU86CB,欣悅敦峰,A棟01號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉太昌路,24.29,,鄉村區,乙種建築用地,1121221,土地1建物0車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.62,1,1,1,有,無,6600000,67633,坡道平面,33.82,1000000,,RPUNMLSJJHJGFAU07CB,芳澤居,A棟2號,
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里三街,23.85,住,,,1121230,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,69.01,2,2,2,有,無,4900000,71004,,0.0,0,,RPPNMLTJJHJGFAU66CB,臻新城裔,2C號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉太昌路428巷,24.26,,鄉村區,乙種建築用地,1130105,土地2建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,87.97,2,2,2,有,無,6250000,71047,,0.0,0,,RPRNMLTJJHJGFAU86CB,駿騰大展,1棟A3號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街,41.4,住,,,1121213,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,165.68,3,2,2,有,無,11560000,73496,坡道平面,24.72,1200000,,RPSNMLTJJHJGFAU96CB,天悅,B棟B1號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街,42.6,住,,,1121213,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,169.76,3,2,2,有,無,11860000,73497,坡道平面,24.72,1200000,,RPTNMLTJJHJGFAU07CB,天悅,B棟B2號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街,36.03,住,,,1121225,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,147.4,3,2,2,有,無,10140000,72873,坡道平面,24.72,1200000,,RPUNMLTJJHJGFAU17CB,天悅,B棟B3號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街,36.03,住,,,1121225,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,145.42,3,2,2,有,無,10120000,73525,坡道平面,22.74,1100000,,RPVNMLTJJHJGFAU27CB,天悅,B棟B3號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉祥五街,36.11,住,,,1121226,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,147.67,3,2,2,有,無,11120000,79870,坡道平面,24.72,1300000,,RPWNMLTJJHJGFAU37CB,天悅,A棟A1號,
