鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉荳蘭三街,34.72,商,,,1130903,土地2建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.76,0,0,2,有,無,14650000,74353,一樓平面,29.9,1500000,本戶無隔間、無地磚，為全胚屋。毛胚屋；,RPPNMLKKRHJGFAU76DB,吉安之星,A棟11F-2號,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街129號,9.12,商,,,1130913,土地1建物1車位0,十層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,66.43,2,2,1,有,無,7880000,118621,,0.0,0,,RPPNMLNKRHJGFAU96CB,?富,1棟10C號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,13.05,商,,,1130819,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.83,3,2,2,有,無,12220000,92192,坡道平面,24.72,1700000,,RPPNMLQKRHJGFAU27CB,超綻,A棟7-08F號,1140112全部解約
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,16.39,商,,,1130912,土地7建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.68,3,2,2,有,無,17220000,110396,一樓平面,16.53,2300000,,RPPNMLSKRHJGFAU47CB,鑫晶鑽,A1棟11FA7號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,11.29,商,,,1130912,土地7建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.64,2,2,2,有,無,12580000,110407,一樓平面,16.53,2300000,,RPQNMLSKRHJGFAU57CB,鑫晶鑽,A1棟11FA8號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,8.9,商,,,1130827,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,101.67,2,2,1,有,無,9330000,97856,坡道平面,24.72,1800000,,RPRNMLSKRHJGFAU67CB,超綻,A棟6-10F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,13.05,商,,,1130901,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.83,3,2,2,有,無,11680000,87459,坡道平面,24.72,1700000,,RPSNMLSKRHJGFAU77CB,超綻,A棟7-03F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,13.05,商,,,1130828,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.83,3,2,2,有,無,11680000,87459,坡道平面,24.72,1700000,,RPTNMLSKRHJGFAU87CB,超綻,A棟7-04F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,13.05,商,,,1130826,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.83,3,2,2,有,無,11920000,87810,坡道平面,24.72,1900000,,RPUNMLSKRHJGFAU97CB,超綻,A棟7-02F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,15.72,商,,,1130825,土地1建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.5,4,2,2,有,無,13740000,87359,坡道平面,30.25,1750000,,RPVNMLSKRHJGFAU08CB,超綻,C棟1-05F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,12.75,商,,,1130907,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,136.18,3,2,2,有,無,11760000,90257,坡道平面,24.72,1700000,,RPWNMLSKRHJGFAU18CB,超綻,C棟7-06F號,1140315全部解約
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,12.75,商,,,1130914,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.6,3,2,2,有,無,11300000,86578,坡道平面,24.14,1650000,,RPXNMLSKRHJGFAU28CB,超綻,C棟7-02F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,14.24,商,,,1130820,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.01,3,2,2,有,無,13100000,90191,坡道平面,24.72,1800000,,RPOOMLSKRHJGFAU47CB,超綻,D棟3-03F號,
花蓮市,房地(土地+建物),花蓮縣花蓮市富陽路,16.55,商,,,1130913,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.36,1,2,1,有,無,6730000,89305,,0.0,0,,RPPNMLTKRHJGFAU57CB,九富,1棟3B號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉吉昌一街205號隔壁,27.06,住,,,1130906,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.75,2,2,2,有,無,8800000,90460,坡道平面,13.84,1300000,,RPPNMLLLRHJGFAU96DB,磬揚合靜,A11棟5樓號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,7.09,商,,,1130919,土地7建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.52,2,1,1,有,無,6091000,99812,坡道平面,2.0,250000,,RPPNMLNLRHJGFAU07CB,鑫晶鑽,A1棟3FA5號,
