鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
光復鄉,土地,馬佛段866地號,330.95,,一般農業區,甲種建築用地,1131202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,1209,,0.0,0,,RPQNMLPJKIJGFBU76EA,0.0,0.0,0.0,無,
吉安鄉,土地,仁恥段295-4地號,14.0,都市：其他:道路用地,,,1131107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,28571,,0.0,0,包含公共設施保留地用地；,RPWOMLMKJIJGFAU96DA,0.0,0.0,0.0,無,
吉安鄉,土地,吉興段311-70地號,9.17,農,,,1131105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,74790,8156,,0.0,0,,RPSNMLMKJIJGFAU09DA,0.0,0.0,0.0,無,
玉里鎮,土地,泰林段941地號,2229.47,,特定農業區,農牧用地,1131107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1300000,583,,0.0,0,,RPPNMLNKJIJGFCU09DA,0.0,0.0,0.0,無,
光復鄉,土地,阿托莫段1335地號,540.78,,一般農業區,農牧用地,1131107,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,650000,1202,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLOKJIJGFBU56DA,0.0,0.0,0.0,無,
吉安鄉,土地,草芬段247-2地號,2525.32,,特定農業區,農牧用地,1131108,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9549000,3781,,0.0,0,,RPXNMLSJJIJGFAU47DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉廣賢路一段３４９巷７號四樓之一,48.57,,特定農業區,甲種建築用地,1131104,土地1建物2車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130207,179.48000000000002,2,2,2,有,無,14000000,78003,,0.0,0,花蓮縣吉安鄉仁愛段28地號，持分936/10000、936/10000計1872/10000，199建號持分1/1、共有部分建號205持分864/10000、200建號持分1/1、共有部分建號205持分864/10000。,RPXNMLOKJIJGFAU17DA,108.32,0.0,10.86,有,001
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛八街１２１號四樓之二,8.42,住,,,1131105,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821129,30.57,1,1,1,有,有,1750000,57246,,0.0,0,陽台外推；,RPSPMLSKJIJGFAU27DA,22.67,0.0,1.88,有,002
光復鄉,土地,加里洞段236地號,4006.49,,山坡地保育區,農牧用地,1131111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,300,,0.0,0,農作物；,RPPNMLPKJIJGFBU66EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛二街２１３號九樓之八,4.28,商,,,1131111,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821105,33.36,1,0,1,有,有,1800000,53957,,0.0,0,,RPPNMLMKJIJGFAU78DA,23.21,0.0,0.0,有,003
瑞穗鄉,土地,舞鶴東段1220地號,2714.99,,山坡地保育區,農牧用地,1131105,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3100000,1142,,0.0,0,,RPXNMLTKJIJGFCU87DA,0.0,0.0,0.0,無,004
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街７２號四樓之一,16.67,住,,,1131104,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840222,108.39,3,2,1,有,有,5380000,49636,,0.0,0,,RPSNMLMLJIJGFAU56DA,67.52,0.0,11.31,有,005
花蓮市,土地,林森段1871地號,8.31,都市：其他:道路用地,,,1131114,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150000,18051,,0.0,0,包含公共設施保留地用地；,RPQOMLLLJIJGFAU98DA,0.0,0.0,0.0,無,006
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉壽豐路一段５９號,48.01,商,,,1131111,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0750403,136.31,0,0,0,無,無,6000000,44017,,0.0,0,,RPUOMLPLJIJGFAU17DA,136.31,0.0,0.0,無,007
玉里鎮,房地(土地+建物),花蓮縣玉里鎮城東七街３８號,31.67,住,,,1131114,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0700116,43.41,4,1,1,有,無,284866,6562,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKJIJGFCU27EA,43.41,0.0,0.0,無,
新城鄉,土地,天佑段1131-1地號,1064.34,,特定農業區,農牧用地,1131114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3380000,3176,,0.0,0,農作物；,RPQOMLKLJIJGFAU88DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街５２號三樓之五,7.75,商,,,1131106,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840701,39.21,1,1,1,有,有,2400000,61209,,0.0,0,其他增建；,RPWNMLMLJIJGFAU96DA,28.38,0.0,1.6,有,
富里鄉,土地,萬寧段844地號,542.74,,特定農業區,農牧用地,1131112,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,290000,534,,0.0,0,,RPRNMLMKJIJGFCU56DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南山一街６２號四樓,11.46,住,,,1131102,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840330,41.49,1,1,1,有,有,2650000,63871,,0.0,0,其他增建；,RPUOMLRLJIJGFAU37DA,30.64,0.0,3.45,有,008
玉里鎮,房地(土地+建物),花蓮縣玉里鎮三軒１２８號,3364.01,,特定農業區,農牧用地,1131109,土地2建物1車位0,全,三層,透天厝,住家用,加強磚造,,172.69,7,4,2,有,無,5300000,30691,,0.0,0,本標的物:民南段1022-1地號價款為貳佰柒拾萬元正民南段1022地號42建號價款為貳佰陸拾萬元正其他增建；,RPPNMLSLJIJGFCU07DA,172.69,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市中央路三段７３０號十樓之九,5.63,住,,,1131102,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840819,26.47,1,1,1,有,有,1680000,63468,,0.0,0,陽台外推；,RPTRMLMKJIJGFAU96DA,15.83,0.0,3.82,有,009
花蓮市,房地(土地+建物),花蓮縣花蓮市福建街１２２號,87.0,住,,,1131105,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0660721,128.4,3,2,2,有,無,8720000,67913,,0.0,0,其他增建；,RPUNMLQLJIJGFAU17DA,128.4,0.0,0.0,無,
新城鄉,房地(土地+建物),花蓮縣新城鄉大德街３５１號,90.98,,鄉村區,乙種建築用地,1131107,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0721028,83.26,4,2,3,有,無,8500000,102090,,0.0,0,其他增建；,RPRNMLTLJIJGFAU17DA,83.26,0.0,0.0,無,010
玉里鎮,土地,玉城段1489地號,55.0,住,,,1131118,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,204000,3709,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLSKJIJGFCU27DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,興南段804地號,368.61,,一般農業區,農牧用地,1131116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,380000,1031,,0.0,0,,RPPNMLRLJIJGFCU96DA,0.0,0.0,0.0,無,
萬榮鄉,土地,萬利段90地號,267.88,,鄉村區,乙種建築用地,1131111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,260000,971,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQLJIJGFBU86EA,0.0,0.0,0.0,無,
吉安鄉,土地,光英段208地號,1062.71,,一般農業區,農牧用地,1131104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3850000,3623,,0.0,0,,RPQOMLSLJIJGFAU07DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,興南段806地號,866.99,,一般農業區,農牧用地,1131116,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2800000,3230,,0.0,0,未登記建物；,RPQNMLRLJIJGFCU07DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,興南段806-3地號,749.76,,一般農業區,農牧用地,1131116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,840000,1120,,0.0,0,,RPRNMLRLJIJGFCU17DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,興南段806-4地號,265.22,,一般農業區,農牧用地,1131116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,280000,1056,,0.0,0,,RPSNMLRLJIJGFCU27DA,0.0,0.0,0.0,無,
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中山路四段１００號,158.0,農,,,1131114,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710200,187.36,2,2,2,有,無,4000000,21349,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVOMLSKJIJGFAU47DA,187.36,0.0,0.0,無,
光復鄉,房地(土地+建物),花蓮縣光復鄉中華路２５６巷５號,1066.19,住,,,1131101,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830509,82.54,3,2,3,有,無,3140000,38042,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTLJIJGFBU17DA,73.06,3.37,6.11,無,
