編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLMLJIJGFAU96DA,29,29.98,住家用,鋼筋混凝土造,84年7月1日,五層,三層 陽台,全筆移轉
RPUOMLPLJIJGFAU17DA,39,136.31,住商用,鋼筋混凝土造,75年4月3日,三層,一層 二層 三層 屋頂突出物 騎樓,全筆移轉
RPWNMLMLJIJGFAU96DA,29,9.23,共有部份,鋼筋混凝土造,84年7月1日,五層,,持分移轉
RPPNMLMKJIJGFAU78DA,31,23.21,住家用,鋼筋混凝土造,82年11月5日,九層,九層,全筆移轉
RPSNMLMLJIJGFAU56DA,30,78.83,住家用,鋼筋混凝土造,84年2月22日,八層,四層 陽台,全筆移轉
RPPNMLMKJIJGFAU78DA,31,10.15,共有部份,鋼筋混凝土造,82年11月5日,九層,,持分移轉
RPSNMLMLJIJGFAU56DA,30,14.86,共有部份,鋼筋混凝土造,84年2月22日,八層,,持分移轉
RPSNMLMLJIJGFAU56DA,30,14.70,共有部份,鋼筋混凝土造,84年2月22日,八層,,持分移轉
RPPNMLSLJIJGFCU07DA,,172.69,住家用,加強磚造,,三層,一層 二層 三層,全筆移轉
RPTRMLMKJIJGFAU96DA,29,19.65,住家用,鋼筋混凝土造,84年8月19日,十一層,十層 陽台,全筆移轉
RPTRMLMKJIJGFAU96DA,29,6.82,共有部份,鋼筋混凝土造,84年8月19日,十一層,,持分移轉
RPUOMLRLJIJGFAU37DA,30,34.09,住家用,鋼筋混凝土造,84年3月30日,五層,四層 陽台,全筆移轉
RPUOMLRLJIJGFAU37DA,30,7.40,共有部份,鋼筋混凝土造,84年3月30日,五層,,持分移轉
RPQNMLTKJIJGFCU27EA,44,43.41,住商用,鋼筋混凝土加強磚造,70年1月16日,二層,一層 二層 騎樓 夾層,持分移轉
RPSPMLSKJIJGFAU27DA,31,24.55,住家用,鋼筋混凝土造,82年11月29日,五層,四層 陽台,全筆移轉
RPSPMLSKJIJGFAU27DA,31,6.02,共有部份,鋼筋混凝土造,82年11月29日,五層,,持分移轉
RPSNMLOJKIJGFAU66DA,38,215.57,住家用,鋼筋混凝土造,76年4月27日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPVOMLSKJIJGFAU47DA,,187.36,住家用,鋼筋混凝土加強磚造,71年2月0日,二層,一層 二層 騎樓,全筆移轉
RPQNMLTLJIJGFBU17DA,30,82.54,住家用,鋼筋混凝土造,83年5月9日,三層,一層 二層 三層 陽台 平台,持分移轉
RPTNMLPJKIJGFAU86DA,29,20.55,住家用,鋼筋混凝土造,84年8月19日,十一層,六層,全筆移轉
RPTNMLPJKIJGFAU86DA,29,6.53,共有部份,鋼筋混凝土造,84年8月19日,十一層,,持分移轉
RPSNMLOJKIJGFBU76DA,43,97.47,住家用,鋼筋混凝土加強磚造,70年12月26日,二層,一層 二層,全筆移轉
RPUNMLQLJIJGFAU17DA,47,128.40,住商用,鋼筋混凝土加強磚造,66年7月21日,二層,一層 二層 騎樓,全筆移轉
RPUPMLQLJIJGFAU37DA,,56.56,集合住宅,鋼筋混凝土造,113年9月26日,五層,三層 陽台,全筆移轉
RPPNMLPJKIJGFBU56DA,25,57.67,住家用,鋼筋混凝土造,89年4月27日,二層,一層 二層 陽台 屋頂突出物,持分移轉
RPUPMLQLJIJGFAU37DA,,17.96,共有部份,鋼筋混凝土造,113年9月26日,五層,,持分移轉
RPXNMLOKJIJGFAU17DA,1,59.59,供特定人長期住宿之場所（集合住宅）,鋼筋混凝土造,113年2月7日,七層,四層 陽台,全筆移轉
RPXNMLOKJIJGFAU17DA,1,59.59,供特定人長期住宿之場所（集合住宅）,鋼筋混凝土造,113年2月7日,七層,四層 陽台,全筆移轉
RPXNMLOKJIJGFAU17DA,1,30.15,共有部份,鋼筋混凝土造,113年2月7日,七層,,持分移轉
RPXNMLOKJIJGFAU17DA,1,30.15,共有部份,鋼筋混凝土造,113年2月7日,七層,,持分移轉
RPXOMLSLJIJGFAU77DA,30,33.47,住家用,鋼筋混凝土造,84年4月29日,五層,四層 陽台 花台,全筆移轉
RPRNMLTLJIJGFAU17DA,41,83.26,住家用,鋼筋混凝土加強磚造,72年10月28日,二層,一層 二層,全筆移轉
RPXOMLSLJIJGFAU77DA,30,9.15,共有部份,鋼筋混凝土造,84年4月29日,五層,,持分移轉
RPRNMLNJKIJGFAU09DA,35,316.05,住商用,鋼筋混凝土造,79年1月19日,四層,一層 二層 三層 四層 陽台 騎樓 地下層,全筆移轉
RPPNMLMJKIJGFCU98DA,,87.00,住家用,加強磚造,70年10月0日,二層,一層 二層,全筆移轉
RPRNMLPJKIJGFAU66DA,26,33.71,住家用,鋼筋混凝土造,87年10月6日,五層,三層 陽台,全筆移轉
RPRNMLPJKIJGFAU66DA,26,17.53,共有部份,鋼筋混凝土造,87年10月6日,五層,,持分移轉
RPOOMLOJKIJGFAU98DA,,65.55,集合住宅,鋼筋混凝土造,113年7月31日,十一層,四層 陽台,全筆移轉
RPOOMLOJKIJGFAU98DA,,25.74,共有部份,鋼筋混凝土造,113年7月31日,十一層,,持分移轉
RPOOMLOJKIJGFAU98DA,,9.11,共有部份,鋼筋混凝土造,113年7月31日,十一層,,持分移轉
RPPNMLPJKIJGFCU76EA,1,204.59,住家用,鋼筋混凝土造,113年3月1日,三層,一層 二層 三層 陽台,全筆移轉
RPRNMLQJKIJGFAU76DA,,258.16,住宅,鋼筋混凝土造,113年9月18日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPTNMLQJKIJGFAU96DA,37,26.56,住家用,鋼筋混凝土造,76年11月17日,七層,六層 陽台,全筆移轉
RPTNMLQJKIJGFAU96DA,37,6.63,共有部份,鋼筋混凝土造,76年11月17日,七層,,持分移轉
RPQNMLMLIIJGFCU09DA,43,86.92,住家用,鋼筋混凝土加強磚造,71年3月27日,二層,一層 二層,全筆移轉
