鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉民生路,33.93,住,,,1130215,土地1建物1車位1,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,120.37,2,2,2,有,無,8900000,78831,坡道平面,13.75,495000,,RPPNMLKLKHJGFAU68CB,千悅藏馥二期B、C區,C棟02號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街,25.72,住,,,1130215,土地1建物1車位0,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.37,2,2,1,有,無,8000000,85681,,0.0,0,,RPQNMLKLKHJGFAU78CB,欣悅敦峰,C棟01號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉昌隆三街,32.73,住,,,1130216,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,160.28,3,2,2,有,無,11500000,84182,坡道平面,41.49,1500000,,RPPNMLMLKHJGFAU88CB,欣悅敦峰,B棟02號,
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕二街,16.39,住,,,1130219,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,50.58,1,1,1,有,無,4670000,92329,,0.0,0,,RPRNMLRLKHJGFAU96CB,後站富都心,1棟3A號,
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕二街,16.35,住,,,1130215,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,50.46,1,1,1,有,無,4740000,93936,,0.0,0,,RPTNMLRLKHJGFAU17CB,後站富都心,1棟4B號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕二街,16.39,住,,,1130217,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,64.33,1,1,1,有,無,6450000,93911,一樓平面,13.75,1700000,,RPOOMLRLKHJGFAU76CB,後站富都心,1棟4A號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕二街,34.0,住,,,1130215,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.67,2,1,2,有,無,11400000,92451,一樓平面,13.75,1700000,,RPSOMLRLKHJGFAU17CB,後站富都心,1棟2D號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕二街,32.52,住,,,1130224,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.08,2,1,2,有,無,10960000,92295,一樓平面,13.75,1700000,,RPVOMLRLKHJGFAU47CB,後站富都心,1棟3D號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕二街,16.33,住,,,1130224,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,63.05,1,1,1,有,無,6260000,92460,一樓平面,12.65,1600000,,RPWOMLRLKHJGFAU57CB,後站富都心,1棟3H號,
