鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
壽豐鄉,土地,壽農段1881地號,99.91,,鄉村區,乙種建築用地,1130504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5050000,50545,,0.0,0,花蓮縣壽豐鄉壽農段1881地號及同段1881-19承租權移轉變更及未登記建物花蓮縣壽豐鄉中興街16號含地政士服務費10000元；未登記建物；,RPRNMLKKNHJGFAU09DA,0.0,0.0,0.0,無,0001
秀林鄉,房地(土地+建物),花蓮縣秀林鄉民有３６之１號,131.44,住,,,1130506,土地2建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0731114,78.83,2,2,1,有,無,450000,5708,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLNKNHJGFAU86DA,78.83,0.0,0.0,無,0002
富里鄉,土地,竹田段1124地號,9623.59,,一般農業區,農牧用地,1130505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19000000,1974,,0.0,0,,RPPNMLQKNHJGFCU07DA,0.0,0.0,0.0,無,0003
富里鄉,土地,竹田段1125地號,10670.51,,一般農業區,農牧用地,1130505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19888888,1864,,0.0,0,,RPQNMLQKNHJGFCU17DA,0.0,0.0,0.0,無,
富里鄉,土地,中平段925地號,6038.87,農,,,1130506,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6038870,1000,,0.0,0,,RPRNMLQKNHJGFCU27DA,0.0,0.0,0.0,無,
萬榮鄉,土地,馬遠段1152地號,17560.0,,山坡地保育區,農牧用地,1130513,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,46,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKNHJGFBU96DA,0.0,0.0,0.0,無,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮萬麗５８之７,86.51,,鄉村區,乙種建築用地,1130513,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0740700,114.78,3,1,2,有,無,2000000,17425,,0.0,0,,RPPNMLKLNHJGFCU66EA,114.78,0.0,0.0,無,
吉安鄉,土地,宜安段755地號,532.0,都市：其他:道路用地,,,1130506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2980000,5602,,0.0,0,包含公共設施保留地用地；,RPPNMLQJNHJGFAU76DA,0.0,0.0,0.0,無,0004
秀林鄉,土地,下崇德段299地號,2735.85,農,,,1130513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2400000,877,,0.0,0,,RPWNMLNKNHJGFAU27DA,0.0,0.0,0.0,無,
吉安鄉,土地,仁和段98地號,74.11,農,,,1130513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,350000,4723,,0.0,0,,RPPNMLNLNHJGFAU66DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,屋拉力段907-1地號,12.4,,鄉村區,乙種建築用地,1130513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,70000,5645,,0.0,0,,RPPNMLRKNHJGFCU17DA,0.0,0.0,0.0,無,
秀林鄉,土地,下崇德段450地號,1731.66,工,,,1130515,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4437400,2563,,0.0,0,,RPTNMLMLNHJGFAU96DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉北昌一街１５巷１１１之６號,104.39,住,,,1130503,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1110824,285.22,3,3,4,有,無,19990000,70086,,0.0,0,,RPXNMLMLNHJGFAU37DA,263.4,0.0,21.82,有,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富陽路３８號十樓之三,6.29,商,,,1130511,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101105,58.120000000000005,2,1,1,有,有,5000000,86029,坡道平面,12.13,0,,RPTOMLMLNHJGFAU07DA,29.66,0.0,2.61,有,0005
新城鄉,土地,嘉新段528地號,42.0,農,,,1130515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1350000,32143,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLNHJGFAU76EA,0.0,0.0,0.0,無,
吉安鄉,土地,仁恥段44-1地號,27.0,都市：其他:道路,,,1130522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,7407,,0.0,0,包含公共設施保留地用地；,RPUOMLMLNHJGFAU17DA,0.0,0.0,0.0,無,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮城中四街７３巷２號,54.31,住,,,1130509,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0810523,54.73,4,2,2,有,無,1000000,18272,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；其他增建；畸零地或有合併使用效益；包含公共設施保留地用地；,RPQNMLMLNHJGFCU86DA,49.87,0.0,4.86,無,
富里鄉,土地,鱉溪段1556地號,8595.21,,山坡地保育區,農牧用地,1130510,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,140,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNLNHJGFCU96DA,0.0,0.0,0.0,無,
花蓮市,土地,國興段422地號,207.05,農,,,1130508,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,905610,4374,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLOLNHJGFAU86EA,0.0,0.0,0.0,無,0006
玉里鎮,土地,源城段180地號,2413.0,,特定農業區,農牧用地,1130514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2895600,1200,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLNHJGFCU96EA,0.0,0.0,0.0,無,0007
壽豐鄉,土地,榮光段915-1地號,526.96,,,,1130515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1390000,2638,,0.0,0,,RPPPMLMLNHJGFAU76DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕八街２３號,117.0,住,,,1130510,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土造,0870801,48.4,1,1,1,有,無,10500000,216942,,0.0,0,含傢俱設備費；頂樓加蓋；其他增建；,RPVNMLOLNHJGFAU37DA,48.4,0.0,0.0,無,
壽豐鄉,土地,池南段660-1地號,797.79,農,,,1130520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,3760,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPTNMLRLNHJGFAU47DA,0.0,0.0,0.0,無,
玉里鎮,土地,禹西段699-1地號,63.23,,特定農業區,農牧用地,1130516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,142500,2254,,0.0,0,,RPPNMLMLNHJGFCU76DA,0.0,0.0,0.0,無,
富里鄉,土地,富田段407地號,4259.99,,特定農業區,農牧用地,1130520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4700000,1103,,0.0,0,,RPPNMLQLNHJGFCU17DA,0.0,0.0,0.0,無,
玉里鎮,土地,永良段150地號,3310.65,,特定農業區,農牧用地,1130509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,453,,0.0,0,,RPPNMLRLNHJGFCU27DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里四街７７巷５號,102.0,住,,,1130501,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820813,199.69,4,2,2,有,無,7000000,35054,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPXNMLLLNHJGFAU27DA,189.42,0.0,10.27,無,
新城鄉,房地(土地+建物),花蓮縣新城鄉民享街９０號二樓之五,15.34,住,,,1130509,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850306,48.260000000000005,1,0,1,有,有,2350000,48695,,0.0,0,含傢俱設備費；其他增建；,RPXNMLRLNHJGFAU87DA,33.23,0.0,6.08,有,0008
新城鄉,房地(土地+建物),花蓮縣新城鄉新城路１３號,93.03,住,,,1130513,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0710227,102.87,3,2,2,有,無,3450000,33537,,0.0,0,,RPUNMLSLNHJGFAU67DA,102.87,0.0,0.0,無,
卓溪鄉,土地,卓溪段157地號,5220.0,,山坡地保育區,林業用地,1130523,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,391500,75,,0.0,0,,RPPNMLSLNHJGFCU47EA,0.0,0.0,0.0,無,0009
卓溪鄉,土地,石平段389-2地號,12377.0,,山坡地保育區,林業用地,1130522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,433195,35,,0.0,0,,RPQNMLSLNHJGFCU57EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市民德一街５１號二樓之二,19.96,住,,,1130507,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830308,135.47,3,2,1,有,有,6760000,49900,坡道平面,0.0,0,其他增建；,RPPOMLLLNHJGFAU56DA,77.4,16.86,3.63,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市中原路３１０號,81.0,住,,,1130513,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680226,108.2,2,2,3,有,無,10200000,94270,,0.0,0,頂樓加蓋；其他增建；,RPOOMLRLNHJGFAU07DA,108.2,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慈惠二街１２４號五樓之四,29.99,住,,,1130501,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811120,121.86,3,2,2,有,有,5150000,42262,,0.0,0,,RPPNMLSLNHJGFAU17DA,89.08,0.0,8.92,有,0010
玉里鎮,土地,民北段147-1地號,92.54,,山坡地保育區,交通用地,1130514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,953162,10300,,0.0,0,協議價購；,RPQNMLSLNHJGFCU47DA,0.0,0.0,0.0,無,
玉里鎮,土地,民北段382-1地號,96.56,,鄉村區,交通用地,1130514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1168376,12100,,0.0,0,協議價購；,RPRNMLSLNHJGFCU57DA,0.0,0.0,0.0,無,
光復鄉,土地,水廣段232地號,66.87,都市：其他:車站專用區,,,1130507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,2991,,0.0,0,農作物；,RPPNMLTLNHJGFBU47EA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海一街１０９巷８號,80.0,,鄉村區,乙種建築用地,1130501,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0660404,78.94,3,2,2,有,無,5400000,68406,,0.0,0,其他增建：一樓空地增建、遮雨棚增建其他增建；,RPQOMLRLNHJGFAU27DA,78.94,0.0,0.0,無,0011
新城鄉,房地(土地+建物),花蓮縣新城鄉仁義街１０７號,73.0,住,,,1130514,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0860807,126.91,4,2,2,有,無,6000000,47278,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPSNMLKMNHJGFAU76DA,108.05,9.62,9.24,無,
吉安鄉,土地,東昌段709-1地號,992.0,,一般農業區,農牧用地,1130520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11403040,11495,,0.0,0,,RPPNMLLMNHJGFAU56DA,0.0,0.0,0.0,無,
鳳林鎮,土地,綜開段363地號,4711.93,,一般農業區,農牧用地,1130522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,159,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPQNMLTLNHJGFBU57EA,0.0,0.0,0.0,無,
鳳林鎮,土地,綜開段271-48地號,7911.98,,一般農業區,農牧用地,1130522,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1250000,158,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPPNMLKMNHJGFBU66EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街１０６號二樓之七,25.58,住,,,1130508,土地3建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820618,104.33,3,2,2,有,有,6100000,58468,,0.0,0,,RPTOMLKLNHJGFAU86DA,75.76,0.0,9.21,有,0012
吉安鄉,土地,稻園段171-1地號,280.72,農,,,1130512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12000000,42747,,0.0,0,,RPVNMLSLNHJGFAU77DA,0.0,0.0,0.0,無,0013
吉安鄉,房地(土地+建物),花蓮縣吉安鄉荳蘭五街１２號之５,146.0,住,,,1130502,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0800822,225.51,6,2,6,有,無,18000000,79819,,0.0,0,頂樓加蓋；其他增建；,RPXNMLTLNHJGFAU08DA,210.51,0.0,15.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海五街２４９巷３號,100.0,,鄉村區,乙種建築用地,1130507,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0710226,102.46,3,2,3,有,無,7180000,70076,,0.0,0,頂樓加蓋；其他增建；,RPPNMLKMNHJGFAU09DA,102.46,0.0,0.0,無,0014
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉南昌北路７６號二樓之二,11.53,商,,,1130517,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090828,75.25,3,2,3,有,有,5200000,69112,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLKMNHJGFAU07DA,45.06,0.0,4.95,有,0015
花蓮市,房地(土地+建物),花蓮縣花蓮市國興五街１２２號,88.0,住,,,1130501,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0690603,157.91,13,1,13,有,無,10620000,67253,,0.0,0,頂樓加蓋；其他增建；,RPROMLKMNHJGFAU76DA,157.91,0.0,0.0,無,
富里鄉,土地,富山段779地號,2230.92,,山坡地保育區,農牧用地,1130515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,224,,0.0,0,,RPPNMLTLNHJGFCU47DA,0.0,0.0,0.0,無,
玉里鎮,土地,玉里段2682地號,4697.0,,特定農業區,農牧用地,1130509,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4400000,937,,0.0,0,,RPQNMLLMNHJGFCU86DA,0.0,0.0,0.0,無,
花蓮市,土地,石壁段515-5地號,1257.5,,一般農業區,農牧用地,1130513,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4820000,3833,,0.0,0,,RPWNMLOKNHJGFAU37DA,0.0,0.0,0.0,無,0016
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路二段８２號,120.44,,一般農業區,甲種建築用地,1130515,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690300,137.5,0,0,2,有,無,6000000,43636,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOJOHJGFAU96DA,137.5,0.0,0.0,無,
玉里鎮,土地,玉城段1505地號,373.14,住,,,1130527,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9500000,25460,,0.0,0,,RPRNMLLMNHJGFCU96DA,0.0,0.0,0.0,無,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮復興街２１號,107.0,住,,,1130504,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0640725,106.54,6,2,2,有,無,6300000,59133,,0.0,0,,RPPNMLOJOHJGFCU96EA,106.54,0.0,0.0,無,
吉安鄉,土地,慈惠段806地號,594.72,,,,1130520,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3400000,5717,,0.0,0,包含公共設施保留地用地；,RPSNMLKLNHJGFAU66DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南昌北路６８號四樓之二,15.88,商,,,1130515,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850119,113.7,3,2,2,有,有,5000000,43975,,0.0,0,,RPVNMLLMNHJGFAU17DA,82.94,3.36,3.85,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市府前路５０８號七樓之一,17.27,住,,,1130510,土地4建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010119,111.88,2,1,2,有,有,8000000,71505,,0.0,0,陽台外推；,RPTOMLOJOHJGFAU17DA,74.6,0.0,5.6,有,
