鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
新城鄉,土地,佳東段197地號,1262.53,,特定農業區,農牧用地,1130515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4850000,3841,,0.0,0,,RPVNMLPJOHJGFAU37DA,0.0,0.0,0.0,無,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮城南九街１１號,118.0,住,,,1130512,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010919,221.88,6,2,7,有,無,11700000,52731,,0.0,0,其他增建；,RPPNMLNJOHJGFCU76DA,214.1,0.0,7.78,無,0017
卓溪鄉,土地,崙布山段856地號,684.9,,山坡地保育區,農牧用地,1130531,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30000,44,,0.0,0,,RPPNMLOJOHJGFCU86DA,0.0,0.0,0.0,無,
新城鄉,房地(土地+建物),花蓮縣新城鄉民享街９０號三樓之一,15.28,住,,,1130505,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850306,48.14,2,1,1,有,有,2200000,45700,,0.0,0,其他增建；,RPROMLRKNHJGFAU27DA,31.25,0.0,7.98,有,0018
花蓮市,房地(土地+建物),花蓮縣花蓮市莊敬路３３０號,98.0,住,,,1130504,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0760319,133.12,2,1,3,有,無,14400000,108173,,0.0,0,頂樓加蓋；,RPVNMLNJOHJGFAU17DA,121.97,0.0,11.15,無,
新城鄉,土地,興田段375地號,166.74,住,,,1130520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500000,20991,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLPJOHJGFAU47DA,0.0,0.0,0.0,無,0019
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街５３號三樓之二十二,3.17,商,,,1130524,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,34.21,1,0,1,有,有,1350000,39462,,0.0,0,,RPPOMLPJOHJGFAU86DA,19.88,0.0,3.33,有,
光復鄉,土地,大安段411地號,2713.17,農,,,1130518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1872085,690,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLNHJGFBU86DA,0.0,0.0,0.0,無,
玉里鎮,土地,宮前段868地號,384.08,,山坡地保育區,丙種建築用地,1130530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1400000,3645,,0.0,0,親友間買賣未另訂定私契，內含未保存房屋一棟。親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOJOHJGFCU07DA,0.0,0.0,0.0,無,0020
瑞穗鄉,土地,屋拉力段169地號,1937.95,,山坡地保育區,農牧用地,1130523,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,52,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJOHJGFCU96DA,0.0,0.0,0.0,無,
富里鄉,土地,埔頭段905地號,2027.54,,特定農業區,農牧用地,1130408,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,740,,0.0,0,,RPPNMLKKMHJGFCU09EA,0.0,0.0,0.0,無,
卓溪鄉,土地,古風段1265地號,20230.0,,山坡地保育區,林業用地,1130407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,829430,41,,0.0,0,,RPQNMLRJMHJGFCU07DA,0.0,0.0,0.0,無,
吉安鄉,土地,仁廉段1019地號,705.0,都市：其他:道路用地,,,1130401,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1206861,1712,,0.0,0,含土地增值稅或其他稅費186861元；含地政士服務費20000元；包含公共設施保留地用地；,RPVOMLMKMHJGFAU07DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路３３８號,82.0,商,,,1130408,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0800201,378.91,8,1,9,有,無,26000000,68618,,0.0,0,,RPXPMLPKMHJGFAU67DA,346.75,0.0,32.16,有,
富里鄉,土地,萬寧段1116地號,3410.02,,特定農業區,農牧用地,1130412,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,176,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKMHJGFCU96DA,0.0,0.0,0.0,無,
秀林鄉,土地,下台地段919地號,660.81,,一般農業區,農牧用地,1130408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,287981,436,,0.0,0,,RPQNMLSKMHJGFAU07DA,0.0,0.0,0.0,無,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮忠孝三街１４號,65.0,住,,,1130401,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0870122,92.66,3,2,2,有,有,3300000,35614,,0.0,0,,RPPNMLSKMHJGFCU17DA,84.72,0.0,7.94,無,
壽豐鄉,土地,南坑段13地號,53627.0,,山坡地保育區,農牧用地,1130415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,30,,0.0,0,,RPTNMLTKMHJGFAU47DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街５３號九樓之九,2.67,商,,,1130412,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,27.259999999999998,1,0,1,有,有,1980000,72634,,0.0,0,,RPPNMLLLMHJGFAU98DA,14.71,0.0,3.83,有,
新城鄉,建物,花蓮縣新城鄉民族路５８巷２號,0.0,,,,1130403,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1070122,108.78,4,2,4,有,無,2500000,22982,,0.0,0,建物坐落地號：嘉南段333-16地號；親友、員工、共有人或其他特殊關係間之交易；,RPVOMLTJMHJGFAU67DA,97.26,0.0,11.53,無,0021
瑞穗鄉,土地,新舞鶴段720地號,5210.59,,山坡地保育區,農牧用地,1130415,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5300000,1017,,0.0,0,,RPPNMLMLMHJGFCU66DA,0.0,0.0,0.0,無,
卓溪鄉,房地(土地+建物),花蓮縣卓溪鄉立山８之４號,112.0,,鄉村區,乙種建築用地,1130411,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840523,136.22,0,0,0,無,無,600000,4405,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKMHJGFCU37EA,130.8,0.0,5.42,無,
卓溪鄉,土地,立山段905地號,7340.0,,山坡地保育區,農牧用地,1130416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,95,,0.0,0,無門牌鐵皮屋一間,RPQNMLTKMHJGFCU47EA,0.0,0.0,0.0,無,
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉東富街２號,3696.95,,一般農業區,農牧用地,1130405,土地2建物1車位0,全,二層,透天厝,農業用,鋼筋混凝土造,1010525,409.72,6,2,6,有,無,38500000,93967,,0.0,0,含傢俱設備費500000元；含地政士服務費20000元；農作物；,RPOPMLTJMHJGFAU07DA,381.61,0.0,28.11,無,0022
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路１３１號四樓之六,3.67,商,,,1130415,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831007,29.259999999999998,1,1,1,有,無,1350000,46138,,0.0,0,,RPQTMLPKMHJGFAU37DA,20.09,0.0,0.0,有,0023
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明義六街１０１號,65.51,,鄉村區,乙種建築用地,1130409,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0690400,39.06,2,2,2,有,無,3880000,99334,,0.0,0,頂樓加蓋；其他增建；,RPSPMLTJMHJGFAU47DA,39.06,0.0,0.0,無,0024
秀林鄉,土地,道拉斯段326-7地號,3654.77,,山坡地保育區,暫未編定,1130410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,109,,0.0,0,,RPPNMLOLMHJGFAU66DA,0.0,0.0,0.0,無,
壽豐鄉,土地,沼田段14地號,1136.56,,特定農業區,農牧用地,1130419,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,954710,840,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLPLMHJGFAU27DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,源南段682地號,680.19,,特定農業區,農牧用地,1130416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1180000,1735,,0.0,0,,RPRNMLMLMHJGFCU86DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛八街８９號四樓之十,12.67,住,,,1130417,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810422,52.199999999999996,2,1,1,有,有,3500000,67050,,0.0,0,,RPPNMLPLMHJGFAU86EA,40.88,0.0,5.67,有,
花蓮市,房地(土地+建物),花蓮縣花蓮市福建街３２５號五樓,30.03,住,,,1130402,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711113,88.75,3,1,1,有,無,3300000,37183,,0.0,0,,RPPPMLSJMHJGFAU07DA,78.69,0.0,0.0,無,0025
花蓮市,房地(土地+建物),花蓮縣花蓮市綜合市場３６號,25.0,商,,,1130417,土地2建物1車位0,全,四層,透天厝,商業用,鋼筋混凝土造,0571231,96.45,3,2,3,有,有,3500000,36288,,0.0,0,,RPSNMLPLMHJGFAU07DA,96.45,0.0,0.0,有,0026
