編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPROMLNKNHJGFAU86DA,39,78.83,農民住宅,鋼筋混凝土加強磚造,73年11月14日,一層,一層,全筆移轉
RPXNMLLLNHJGFAU27DA,31,199.69,住家用,鋼筋混凝土造,82年8月13日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPXNMLRLNHJGFAU87DA,28,39.31,住家用,鋼筋混凝土造,85年3月6日,五層,二層 陽台,全筆移轉
RPXNMLRLNHJGFAU87DA,28,8.95,共有部份,鋼筋混凝土造,85年3月6日,五層,,持分移轉
RPXNMLMLNHJGFAU37DA,2,285.22,住家用,鋼筋混凝土造,111年8月24日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物,全筆移轉
RPTOMLMLNHJGFAU07DA,3,32.27,集合住宅,鋼筋混凝土造,110年11月5日,十一層,十層 陽台,持分移轉
RPTOMLMLNHJGFAU07DA,3,25.85,共有部份,鋼筋混凝土造,110年11月5日,十一層,,持分移轉
RPOOMLRLNHJGFAU07DA,45,108.20,住商用,鋼筋混凝土加強磚造,68年2月26日,二層,一層 二層 騎樓,全筆移轉
RPPOMLLLNHJGFAU56DA,30,37.58,共有部份,鋼筋混凝土造,83年3月8日,九層,,持分移轉
RPPOMLLLNHJGFAU56DA,30,97.89,集合住宅,鋼筋混凝土造,83年3月8日,九層,二層 陽台 露台 花台,全筆移轉
RPQNMLMLNHJGFCU86DA,32,54.73,住家用,鋼筋混凝土造,81年5月23日,二層,一層 二層 陽台 屋頂突出物 見其他登記事項,持分移轉
RPPNMLSLNHJGFAU17DA,31,98.00,住家用,鋼筋混凝土造,81年11月20日,五層,五層 陽台,全筆移轉
RPPNMLSLNHJGFAU17DA,31,6.28,共有部份,鋼筋混凝土造,81年11月20日,五層,,持分移轉
RPPNMLSLNHJGFAU17DA,31,1.22,共有部份,鋼筋混凝土造,81年11月20日,五層,,持分移轉
RPPNMLSLNHJGFAU17DA,31,16.36,共有部份,鋼筋混凝土造,81年11月20日,五層,,持分移轉
RPUNMLSLNHJGFAU67DA,42,102.87,住商用,鋼筋混凝土加強磚造,71年2月27日,二層,一層 二層 騎樓,全筆移轉
RPQOMLRLNHJGFAU27DA,47,78.94,住商用,鋼筋混凝土加強磚造,66年4月4日,二層,一層 二層 騎樓,全筆移轉
RPTOMLKLNHJGFAU86DA,31,84.97,住家用,鋼筋混凝土造,82年6月18日,六層,二層 陽台,全筆移轉
RPTOMLKLNHJGFAU86DA,31,19.36,共有部份,鋼筋混凝土造,82年6月18日,六層,,持分移轉
RPXNMLTLNHJGFAU08DA,33,225.51,住家用,鋼筋混凝土造,80年8月22日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLKMNHJGFAU09DA,42,102.46,住商用,鋼筋混凝土加強磚造,71年2月26日,二層,一層 二層,全筆移轉
RPSNMLKMNHJGFAU76DA,27,126.91,住家用,鋼筋混凝土造,86年8月7日,三層,一層 二層 三層 陽台 平台 雨遮,全筆移轉
RPROMLKMNHJGFAU76DA,44,157.91,住商用,鋼筋混凝土造,69年6月3日,三層,一層 二層 三層 防空避難室 騎樓,全筆移轉
RPVNMLKMNHJGFAU07DA,4,50.02,集合住宅,鋼筋混凝土造,109年8月28日,九層,二層 陽台,持分移轉
RPVNMLKMNHJGFAU07DA,4,18.38,本共有部分之項目有停車空間、機電設備空間、騎樓、樓梯間、梯廳、昇降設備機械房、台電配電場所、消防設備室、屋頂突出物１、２層等,鋼筋混凝土造,109年8月28日,九層,,持分移轉
RPVNMLKMNHJGFAU07DA,4,6.85,停車空間,鋼筋混凝土造,109年8月28日,九層,,持分移轉
RPVNMLLMNHJGFAU17DA,28,90.15,住家用,鋼筋混凝土造,85年1月19日,九層,四層 陽台 花台,全筆移轉
RPVNMLLMNHJGFAU17DA,28,23.55,共有部份,鋼筋混凝土造,85年1月19日,九層,,持分移轉
RPSNMLOJOHJGFAU96DA,,137.50,住商用,鋼筋混凝土加強磚造,69年3月0日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPPNMLNJOHJGFCU76DA,12,221.88,住家用,鋼筋混凝土造,101年9月19日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTOMLOJOHJGFAU17DA,12,.86,共有部分（管委會空間）,鋼筋混凝土造,101年1月19日,十層,,持分移轉
RPTOMLOJOHJGFAU17DA,12,80.20,集合住宅,鋼筋混凝土造,101年1月19日,十層,七層 陽台,全筆移轉
RPTOMLOJOHJGFAU17DA,12,30.82,共有部份,鋼筋混凝土造,101年1月19日,十層,,持分移轉
RPVNMLNJOHJGFAU17DA,37,133.12,住商用,鋼筋混凝土造,76年3月19日,二層,一層 二層 陽台 屋頂突出物 騎樓,全筆移轉
RPROMLRKNHJGFAU27DA,28,39.23,住家用,鋼筋混凝土造,85年3月6日,五層,三層 陽台,全筆移轉
RPROMLRKNHJGFAU27DA,28,8.91,共有部份,鋼筋混凝土造,85年3月6日,五層,,持分移轉
RPPOMLPJOHJGFAU86DA,30,23.21,住家用,鋼筋混凝土造,83年11月15日,十二層,三層 陽台,全筆移轉
RPPOMLPJOHJGFAU86DA,30,7.22,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPPOMLPJOHJGFAU86DA,30,3.78,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPXPMLPKMHJGFAU67DA,33,378.91,住商用,鋼筋混凝土造,80年2月1日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物 騎樓,全筆移轉
RPPNMLSKMHJGFCU17DA,26,92.66,住商用,鋼筋混凝土加強磚造,87年1月22日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPVOMLTJMHJGFAU67DA,6,108.78,住家用,鋼筋混凝土造,107年1月22日,四層,一層 二層 三層 四層 陽台,持分移轉
RPPNMLLLMHJGFAU98DA,29,18.54,住家用,鋼筋混凝土造,83年11月15日,十二層,九層 陽台,全筆移轉
RPPNMLLLMHJGFAU98DA,29,5.74,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPPNMLLLMHJGFAU98DA,29,2.98,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPQTMLPKMHJGFAU37DA,30,20.09,住家用,鋼筋混凝土造,83年10月7日,九層,四層,全筆移轉
RPQTMLPKMHJGFAU37DA,30,9.17,共有部份,鋼筋混凝土造,83年10月7日,九層,,持分移轉
RPPNMLOJOHJGFCU96EA,49,106.54,店舖、住宅,鋼筋混凝土加強磚造,64年7月25日,二層,一層 二層 騎樓,全筆移轉
RPPNMLTKMHJGFCU37EA,29,136.22,住家用,鋼筋混凝土造,84年5月23日,三層,一層 二層 三層 陽台,全筆移轉
RPSPMLTJMHJGFAU47DA,,39.06,住家用,鋼筋混凝土加強磚造,69年4月0日,一層,一層,全筆移轉
RPPNMLKLNHJGFCU66EA,,114.78,住家用,鋼筋混凝土加強磚造,74年7月0日,二層,一層 二層,全筆移轉
RPOPMLTJMHJGFAU07DA,12,409.72,農舍,鋼筋混凝土造,101年5月25日,二層,一層 二層 陽台 見其他登記事項,全筆移轉
RPPNMLPLMHJGFAU86EA,32,46.55,住家用,鋼筋混凝土造,81年4月22日,五層,四層 陽台,全筆移轉
RPPNMLPLMHJGFAU86EA,32,5.65,共有部份,鋼筋混凝土造,81年4月22日,五層,,持分移轉
RPSNMLPLMHJGFAU07DA,55,96.45,商業用,鋼筋混凝土造,57年12月31日,四層,一層 二層 三層 四層 騎樓 地下層,全筆移轉
RPVPMLTJMHJGFAU77DA,39,84.92,住家用,鋼筋混凝土加強磚造,73年12月11日,二層,一層 二層,全筆移轉
RPPPMLSJMHJGFAU07DA,41,78.69,住家用,鋼筋混凝土造,71年11月13日,五層,五層,全筆移轉
RPPPMLSJMHJGFAU07DA,41,10.06,共有部份,鋼筋混凝土造,71年11月13日,五層,,持分移轉
RPSOMLRKMHJGFAU27DA,39,99.23,住家用,鋼筋混凝土加強磚造,73年12月11日,二層,一層 二層,全筆移轉
RPRNMLKMMHJGFAU56DA,19,224.56,住家用,鋼筋混凝土造,94年4月21日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLNJNHJGFAU66DA,28,31.44,住家用,鋼筋混凝土造,85年1月4日,六層,四層 陽台,全筆移轉
RPRNMLNJNHJGFAU66DA,28,11.83,共有部份,鋼筋混凝土造,85年1月4日,六層,,持分移轉
RPPNMLNJNHJGFAU56EA,40,83.57,住家用,鋼筋混凝土造,73年6月25日,五層,五層 陽台,全筆移轉
RPPNMLNJNHJGFAU56EA,40,5.70,共有部份,鋼筋混凝土造,73年6月25日,五層,,持分移轉
RPPNMLNJNHJGFAU56EA,40,8.00,共有部份,鋼筋混凝土造,73年6月25日,五層,,持分移轉
RPSOMLKMMHJGFAU76DA,,100.73,集合住宅,鋼筋混凝土造,113年3月13日,五層,四層 陽台,全筆移轉
RPWOMLKMMHJGFAU17DA,,100.73,集合住宅,鋼筋混凝土造,113年3月13日,五層,五層 陽台,全筆移轉
RPSOMLKMMHJGFAU76DA,,17.16,共有部份,鋼筋混凝土造,113年3月13日,五層,,持分移轉
RPWOMLKMMHJGFAU17DA,,17.16,共有部份,鋼筋混凝土造,113年3月13日,五層,,持分移轉
RPWOMLRKMHJGFAU67DA,29,48.89,住家用,鋼筋混凝土造,84年5月18日,五層,五層 陽台,全筆移轉
RPROMLKMMHJGFAU66DA,,55.74,集合住宅,鋼筋混凝土造,113年3月13日,五層,四層 陽台,全筆移轉
RPWOMLRKMHJGFAU67DA,29,13.32,共有部份,鋼筋混凝土造,84年5月18日,五層,,持分移轉
RPROMLKMMHJGFAU66DA,,9.35,共有部份,鋼筋混凝土造,113年3月13日,五層,,持分移轉
RPVOMLNJNHJGFAU17DA,9,209.56,住家用,鋼筋混凝土造,104年2月10日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮,全筆移轉
RPXNMLNJNHJGFAU27DA,29,400.58,住家用,鋼筋混凝土造,84年6月1日,三層,一層 二層 三層 陽台 平台 屋頂突出物,全筆移轉
RPTPMLKMMHJGFAU96DA,6,636.35,農舍,鋼筋混凝土造,107年1月29日,四層,一層 二層 三層 四層 陽台 屋頂突出物 見其他登記事項,全筆移轉
RPPNMLQJNHJGFAU86EA,47,108.30,住商用,鋼筋混凝土造,66年7月1日,二層,一層 二層 騎樓,全筆移轉
RPSOMLKKMHJGFAU56DA,,119.96,住商用,鋼筋混凝土加強磚造,,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPQOMLKKMHJGFAU98DA,,49.66,住家用,鋼筋混凝土加強磚造,49年6月0日,二層,一層 二層,全筆移轉
RPTNMLNJNHJGFAU86DA,41,97.84,住商用,鋼筋混凝土加強磚造,72年4月9日,二層,一層 二層 騎樓,全筆移轉
RPROMLQJNHJGFAU07DA,5,55.66,集合住宅,鋼筋混凝土造,108年3月26日,七層,七層 陽台,全筆移轉
RPROMLQJNHJGFAU07DA,5,21.72,本共有部分之項目有停車空間、機電設備空間、樓梯間、電梯間及升降設備機房等５項,鋼筋混凝土造,108年3月26日,七層,,持分移轉
RPUPMLNJNHJGFAU17DA,32,22.80,住家用,鋼筋混凝土造,81年6月16日,五層,四層 陽台,全筆移轉
RPUPMLNJNHJGFAU17DA,32,5.60,共有部份,鋼筋混凝土造,81年6月16日,五層,,持分移轉
RPXPMLNJNHJGFAU47DA,2,24.26,共有部份,鋼筋混凝土造,110年11月5日,十一層,,持分移轉
RPOQMLNJNHJGFAU66DA,6,53.05,集合住宅,鋼筋混凝土造,107年4月27日,十二層,十二層 陽台,全筆移轉
RPPNMLRJNHJGFCU17EA,,55.08,商業用,木造,,一層,一層 騎樓,持分移轉
RPOQMLNJNHJGFAU66DA,6,12.09,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,,持分移轉
RPOQMLNJNHJGFAU66DA,6,15.67,共有部份,鋼筋混凝土造,107年4月27日,十二層,,持分移轉
RPQNMLTKMHJGFAU17DA,44,120.76,住商用,鋼筋混凝土加強磚造,68年12月10日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPROMLTJNHJGFAU37DA,44,869.91,辦公室、廠房、宿舍,鋼筋混凝土造,69年4月19日,二層,一層 二層 防空避難室 屋頂突出物,全筆移轉
RPSPMLSJNHJGFAU47DA,6,21.98,集合住宅,鋼筋混凝土造,107年3月22日,五層,二層 陽台,全筆移轉
RPSPMLSJNHJGFAU47DA,6,18.62,共有部份,鋼筋混凝土造,107年3月22日,五層,,持分移轉
