鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新城鄉,土地,嘉新段531地號,42.0,農,,,1140103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2200000,52381,,0.0,0,總價含未辦保存登記建物:門牌:花蓮縣新城鄉嘉北一街2巷12號未登記建物；,RPQNMLNLJHKGFAU09DA,0.0,0.0,0.0,無,019
新城鄉,房地(土地+建物),花蓮縣新城鄉鄉根２巷３９號,88.4,,鄉村區,乙種建築用地,1140101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0741014,96.8,3,2,2,有,無,4800000,49587,,0.0,0,其他增建；,RPRNMLOLJHKGFAU66DA,89.6,0.0,7.2,無,020
富里鄉,土地,新莊段23地號,426.34,,山坡地保育區,農牧用地,1140103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,50000,117,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLJHKGFCU66EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛八街１２１號四樓之一,17.43,住,,,1140111,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821129,67.83,2,2,1,有,有,5700000,84034,,0.0,0,其他增建；,RPVNMLOJKHKGFAU96DA,47.27,0.0,8.08,有,021
玉里鎮,土地,神農段1658地號,231.94,,河川區,農牧用地,1140117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,70000,302,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJKHKGFCU56DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富強路４８號五樓之十,7.75,住,,,1140107,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840608,55.74,1,0,1,有,有,3800000,68174,坡道平面,13.97,0,,RPPPMLNKJHKGFAU09DA,25.23,0.29,4.33,有,022
壽豐鄉,土地,共和段284地號,1821.85,,一般農業區,農牧用地,1140117,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1650000,906,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKJHKGFAU86DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中央路三段１９６號,83.0,住,,,1140108,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0810803,238.15,6,1,4,有,無,11000000,46189,,0.0,0,吉安鄉慈安段1090-6地號818建號,RPRNMLOJKHKGFAU56DA,221.05,0.0,17.1,無,023
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路１８之１號六樓之二,10.13,住,,,1140114,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790524,50.92,1,1,1,有,有,3050000,59898,,0.0,0,其他增建；,RPPNMLPJKHKGFAU09DA,44.74,0.0,0.0,有,
秀林鄉,房地(土地+建物),花蓮縣秀林鄉崇德１４７號,133.0,住,,,1140121,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0741128,140.8,6,2,1,有,無,450000,3196,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPTOMLPJKHKGFAU96DA,140.8,0.0,0.0,無,
