鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里二路,73.2,農,,,1131120,土地5建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.01,2,2,2,有,無,8550000,88135,,0.0,0,,RPPNMLMLJIJGFAU88CB,沐之森,A棟1號,
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,20.76,住,,,1131130,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.78,2,2,2,有,無,8600000,78698,坡道平面,24.75,1200000,土地移轉面積合約書內容為20.77平方公尺,RPPNMLOJKIJGFAU98CB,日出好學,C棟11號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海七街,20.91,住,,,1131130,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.64,2,2,2,有,無,7150000,75549,,0.0,0,,RPQNMLOJKIJGFAU09CB,日出好學,A棟4號,
新城鄉,房地(土地+建物),花蓮縣新城鄉新興三街及新興一路,7.3,住,,,1131122,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,20.83,1,0,1,有,無,1680000,80653,,0.0,0,,RPPNMLLKKIJGFAU88DB,太魯閣讚3.0,E棟5E9號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東里二街與東里三街,27.57,住,,,1131123,土地2建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.27,2,2,1,有,無,6450000,74765,,0.0,0,,RPPNMLNKKIJGFAU98CB,卓越,1棟4H號,
花蓮市,房地(土地+建物),花蓮縣花蓮市豐村,29.56,住,,,1131125,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,81.89,2,2,1,有,無,6980000,85236,,0.0,0,,RPQNMLNKKIJGFAU09CB,沐谷上流,1棟2樓B號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市球崙二路,26.44,住,,,1131115,土地1建物1車位1,六層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,109.38,1,2,2,有,無,11000000,100387,坡道平面,13.75,1400000,,RPPNMLNKKIJGFAU09DB,逸品,1棟6A號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中央路三段與勝安四街交接處,27.04,住,,,1131123,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,79.34,2,2,2,有,無,6250000,78775,,0.0,0,,RPPNMLRKKIJGFAU76CB,沐谷川流,A棟2樓1號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市豐村,29.56,住,,,1131129,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.56,2,2,1,有,無,9030000,91944,一樓平面,13.75,1600000,,RPQNMLRKKIJGFAU86CB,沐谷上流,1棟2樓A號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國聯五路與國民九街交叉路口,15.72,商,,,1131201,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.97,4,2,2,有,無,14300000,91075,坡道平面,24.72,1800000,,RPPNMLKLKIJGFAU78CB,超綻,C棟1-08F號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,7.09,商,,,1131127,土地2建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,60.52,2,1,1,有,無,6002500,98300,坡道平面,2.0,250000,,RPPNMLNLKIJGFAU09CB,鑫晶鑽,1A棟2FA6號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市新港街,16.39,商,,,1131216,土地2建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.68,3,2,2,有,無,17834000,114939,一樓平面,16.53,2300000,,RPPNMLOLKIJGFAU56CB,鑫晶鑽,1A棟13FA7號,
