編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLOJKHKGFAU56DA,32,238.15,住商用,鋼筋混凝土造,81年8月3日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓,全筆移轉
RPPNMLPJKHKGFAU09DA,35,6.18,共有部份,鋼筋混凝土造,79年5月24日,七層,,持分移轉
RPPNMLPJKHKGFAU09DA,35,44.74,住家用,鋼筋混凝土造,79年5月24日,七層,六層,全筆移轉
RPTOMLPJKHKGFAU96DA,39,140.80,住家用,鋼筋混凝土加強磚造,74年11月28日,二層,一層 二層,全筆移轉
RPROMLPJKHKGFAU76DA,28,17.70,共有部份,鋼筋混凝土造,86年1月6日,七層,,持分移轉
RPROMLPJKHKGFAU76DA,28,12.28,共有部份,鋼筋混凝土造,86年1月6日,七層,,持分移轉
RPROMLPJKHKGFAU76DA,28,76.86,住家用,鋼筋混凝土造,86年1月6日,七層,五層 陽台,全筆移轉
RPTOMLRJKHKGFAU17DA,31,94.02,住家用,鋼筋混凝土造,83年4月1日,十層,三層 陽台,全筆移轉
RPTOMLRJKHKGFAU17DA,31,27.23,共有部份,鋼筋混凝土造,83年4月1日,十層,,持分移轉
RPOPMLRJKHKGFAU76DA,,67.02,住家用,鋼筋混凝土加強磚造,71年0月0日,二層,二層,全筆移轉
RPROMLSJKHKGFAU07DA,41,96.22,住家用,鋼筋混凝土加強磚造,72年10月13日,二層,一層 二層,全筆移轉
RPQPMLRJKHKGFAU96DA,32,20.13,倉儲,鋼筋混凝土造,81年9月30日,八層,六層,全筆移轉
RPQPMLRJKHKGFAU96DA,32,6.70,共有部份,鋼筋混凝土造,81年9月30日,八層,,持分移轉
RPPNMLKKKHKGFAU68DA,30,174.47,停車空間、住宅,鋼筋混凝土造,83年9月29日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 花台,全筆移轉
RPQNMLSJKHKGFAU86DA,18,167.25,住家用,鋼筋混凝土造,96年5月18日,三層,一層 二層 三層 陽台,全筆移轉
RPRNMLKKKHKGFAU88DA,53,82.68,住家用,鋼筋混凝土加強磚造,60年9月24日,二層,一層 二層 騎樓,全筆移轉
RPRPMLRJKHKGFAU07DA,47,90.90,住家用,鋼筋混凝土加強磚造,67年1月31日,二層,一層 二層,全筆移轉
RPWOMLMJJHKGFAU86DA,37,114.72,辦公室,鋼筋混凝土造,77年6月20日,五層,五層 陽台,全筆移轉
RPWOMLMJJHKGFAU86DA,37,14.11,共有部份,鋼筋混凝土造,77年6月20日,五層,,持分移轉
RPSNMLNKKHKGFAU66DA,73,32.66,住家用,木石磚造（雜木）,,一層,一層,全筆移轉
RPPOMLMKKHKGFAU98DA,7,87.83,集合住宅,鋼筋混凝土造,107年1月29日,十一層,八層 陽台,全筆移轉
RPUNMLOKKHKGFAU96DA,29,14.30,停車空間,鋼筋混凝土造,85年2月5日,十二層,,持分移轉
RPPOMLMKKHKGFAU98DA,7,32.90,共有部份,鋼筋混凝土造,107年1月29日,十一層,,持分移轉
RPXNMLMKKHKGFAU07DA,31,19.22,住家用,鋼筋混凝土造,82年10月14日,六層,四層,全筆移轉
RPXNMLMKKHKGFAU07DA,31,7.17,共有部份,鋼筋混凝土造,82年10月14日,六層,,持分移轉
RPTOMLRKKHKGFAU27DA,54,85.78,住家用,鋼筋混凝土加強磚造,59年11月25日,二層,一層 二層 騎樓,全筆移轉
RPOOMLSKKHKGFAU86DA,14,202.00,住家用,鋼筋混凝土造,100年3月2日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPTOMLSKKHKGFAU37DA,,95.42,住宅,鋼筋混凝土造,113年9月24日,六層,二層 陽台,全筆移轉
RPTOMLSKKHKGFAU37DA,,32.85,共有部份,鋼筋混凝土造,113年9月24日,六層,,持分移轉
RPPOMLSKKHKGFAU96DA,43,116.54,住家用,鋼筋混凝土加強磚造,70年12月31日,二層,一層 二層,全筆移轉
RPRNMLTKKHKGFAU17DA,32,44.12,倉儲,鋼筋混凝土造,81年9月30日,八層,二層 陽台,全筆移轉
RPRNMLTKKHKGFAU17DA,32,4.06,共有部份,鋼筋混凝土造,81年9月30日,八層,,持分移轉
RPWNMLKLKHKGFAU86DA,,123.62,住商用,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPQOMLSKKHKGFAU07DA,,42.32,住家用,木造,,一層,一層,全筆移轉
RPVNMLKLKHKGFAU76DA,19,188.47,住家用,鋼筋混凝土造,94年7月22日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPXNMLSKKHKGFAU67DA,37,56.67,住家用,鋼筋混凝土造,76年11月17日,七層,七層,全筆移轉
RPPNMLRKKHKGFCU96DA,56,153.98,住家用,鋼筋混凝土加強磚造,57年12月8日,二層,一層 二層,全筆移轉
RPXNMLSKKHKGFAU67DA,37,19.03,共有部份,鋼筋混凝土造,76年11月17日,七層,,持分移轉
