編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLKLQHJGFAU86DA,32,20.13,倉儲,鋼筋混凝土造,81年9月30日,八層,八層,全筆移轉
RPRNMLKLQHJGFAU86DA,32,8.32,共有部份,鋼筋混凝土造,81年9月30日,八層,,持分移轉
RPPNMLOKQHJGFCU17DA,30,245.56,住商用,鋼筋混凝土造,83年6月18日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPVNMLLLQHJGFAU37DA,41,102.98,住家用,鋼筋混凝土加強磚造,72年3月10日,二層,一層 二層 騎樓,全筆移轉
RPUOMLQJRHJGFAU77DA,46,130.00,住家用,鋼筋混凝土加強磚造,67年12月5日,二層,一層 二層 騎樓,全筆移轉
RPTNMLSJQHJGFAU67DA,26,88.08,住家用,鋼筋混凝土造,87年2月18日,十四層,四層 陽台,全筆移轉
RPTNMLSJQHJGFAU67DA,26,14.67,共有部份,鋼筋混凝土造,87年2月18日,十四層,,持分移轉
RPTNMLSJQHJGFAU67DA,26,16.39,共有部份,鋼筋混凝土造,87年2月18日,十四層,,持分移轉
RPSOMLOKQHJGFAU37DA,,11.66,共有部份,鋼筋混凝土造,,四層,,持分移轉
RPSOMLOKQHJGFAU37DA,42,71.26,住家用,鋼筋混凝土造,72年1月31日,四層,四層,全筆移轉
RPPNMLNKQHJGFAU86DA,41,256.48,住商用,鋼筋混凝土造,73年1月24日,三層,一層 二層 三層 防空避難室 屋頂突出物 騎樓,全筆移轉
RPQNMLTKQHJGFAU57DA,,50.61,集合住宅,鋼筋混凝土造,113年2月16日,五層,五層 陽台,全筆移轉
RPQNMLTKQHJGFAU57DA,,23.79,共有部份,鋼筋混凝土造,113年2月16日,五層,,持分移轉
RPOPMLMLQHJGFAU96DA,43,128.64,住家用,鋼筋混凝土造,70年12月14日,五層,一層 陽台 防空避難室,全筆移轉
RPOPMLMLQHJGFAU96DA,43,14.82,共有部份,鋼筋混凝土造,70年12月14日,五層,,持分移轉
RPVOMLRJQHJGFAU87DA,30,36.01,住家用,鋼筋混凝土造,83年4月28日,五層,五層 陽台,全筆移轉
RPVOMLRJQHJGFAU87DA,30,8.87,共有部份,鋼筋混凝土造,83年4月28日,五層,,持分移轉
RPOOMLOKQHJGFAU96DA,30,19.33,住家用,鋼筋混凝土造,83年11月15日,十二層,六層,全筆移轉
RPOOMLOKQHJGFAU96DA,30,5.94,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPOOMLOKQHJGFAU96DA,30,3.18,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPPNMLKLQHJGFCU86DA,29,113.87,住商用,鋼筋混凝土加強磚造,84年7月24日,二層,一層 二層 陽台 屋頂突出物,全筆移轉
RPWNMLNLQHJGFAU67DA,30,23.21,住家用,鋼筋混凝土造,83年11月15日,十二層,九層 陽台,全筆移轉
RPWNMLNLQHJGFAU67DA,30,7.05,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPWNMLNLQHJGFAU67DA,30,3.78,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPRPMLLLQHJGFAU17DA,1,54.43,集合住宅,鋼筋混凝土造,112年11月29日,五層,四層 陽台,全筆移轉
RPRPMLLLQHJGFAU17DA,1,31.54,共有部份,鋼筋混凝土造,112年11月29日,五層,,持分移轉
