鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海七街,26.56,住,,,1130511,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.09,3,2,2,有,無,10840000,79374,坡道平面,26.9,1300000,土地移轉面積合約書內容為26.55平方公尺,RPSNMLNKNHJGFAU86CB,日出好學,D棟6號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市球崙二路,26.35,住,,,1130511,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,109.05,1,2,2,有,無,9680000,88767,一樓平面,0.0,1100000,,RPQNMLPKNHJGFAU96DB,逸品,1棟3B號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市國富十街129號,10.98,商,,,1130519,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,119.32,2,2,1,有,無,10680000,114736,升降平面,39.31,1500000,,RPPNMLTKNHJGFAU17CB,?富,1棟10A號,
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里二路,76.48,農,,,1130515,土地4建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.17,2,2,2,有,無,7600000,91379,,0.0,0,,RPPNMLLLNHJGFAU09CB,沐之森,B棟01號,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市民生路31號旁,14.91,商,,,1130512,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.47,3,1,2,有,無,11900000,91056,坡道平面,28.0,1750000,,RPPNMLMLNHJGFAU56CB,三銳海景,A棟2號,
新城鄉,房地(土地+建物),花蓮縣新城鄉新興一路,35.36,住,,,1130517,土地1建物0車位0,三層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,71.72,1,1,2,有,無,4650000,64835,,0.0,0,,RPPNMLMLNHJGFAU66DB,太魯閣讚2.0,D棟3D2號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉福興二街,26.86,住,,,1130517,土地2建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.68,2,2,2,有,無,5550000,72379,,0.0,0,,RPRNMLRLNHJGFAU27CB,福華苑,B戶號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中正路二段300巷,23.7,,特定農業區,甲種建築用地,1130522,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,75.82,2,2,2,有,無,6140000,80981,,0.0,0,,RPSNMLRLNHJGFAU37CB,沐晨,1棟2-B號,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海十四街,29.53,住,,,1130523,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.65,2,2,2,有,無,7000000,67535,,0.0,0,,RPTNMLRLNHJGFAU47CB,雙合苑一期,1棟B3號,
