鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
吉安鄉,房地(土地+建物),花蓮縣吉安鄉太昌路２４２巷３５號,77.0,住,,,1130903,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0671205,130.0,3,2,2,有,無,6500000,50000,,0.0,0,其他增建；,RPUOMLQJRHJGFAU77DA,130.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市民樂三街２之２號四樓之二,13.57,住,,,1130803,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870218,119.14,2,1,2,有,有,6500000,54558,,0.0,0,,RPTNMLSJQHJGFAU67DA,77.1,0.0,10.98,有,
富里鄉,土地,埔頭段501-1地號,263.65,,鄉村區,乙種建築用地,1130806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,480000,1821,,0.0,0,,RPPNMLMKQHJGFCU96DA,0.0,0.0,0.0,無,
富里鄉,土地,富山段636-2地號,2900.0,,山坡地保育區,農牧用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3300000,1138,,0.0,0,,RPPNMLNKQHJGFCU17EA,0.0,0.0,0.0,無,0001
吉安鄉,土地,初音段613地號,1701.13,,特定農業區,農牧用地,1130801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4650000,2733,,0.0,0,,RPQNMLPKQHJGFAU17DA,0.0,0.0,0.0,無,0002
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街５１號六樓之十二,2.67,商,,,1130810,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,28.46,1,1,1,有,有,1275000,44800,,0.0,0,,RPOOMLOKQHJGFAU96DA,19.33,0.0,0.0,有,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮興國路一段１９５之１號,112.0,住,,,1130807,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0830618,245.56,8,2,3,有,無,9000000,36651,,0.0,0,頂樓加蓋；其他增建；,RPPNMLOKQHJGFCU17DA,236.08,0.0,9.48,無,
秀林鄉,土地,格督尚段381地號,436.56,,一般農業區,農牧用地,1130809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,1145,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPKQHJGFAU17EA,0.0,0.0,0.0,無,0003
花蓮市,土地,慈雲段185-3地號,298.07,農,,,1130806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1281701,4300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLMKQHJGFAU27DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市中美五街１２０號四樓,32.5,住,,,1130802,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720131,82.92,3,2,1,有,無,4000000,48239,,0.0,0,其他增建；,RPSOMLOKQHJGFAU37DA,71.26,0.0,0.0,無,0004
花蓮市,房地(土地+建物),花蓮縣花蓮市中興路１２之１號五樓之二,16.2,商,,,1130801,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130216,74.4,2,1,2,有,無,6950000,93414,,0.0,0,,RPQNMLTKQHJGFAU57DA,47.65,0.0,2.96,有,
瑞穗鄉,土地,興北段685-5地號,126.86,,特定農業區,甲種建築用地,1130807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250000,1971,,0.0,0,,RPPNMLTKQHJGFCU67DA,0.0,0.0,0.0,無,
花蓮市,土地,慈雲段306-1地號,298.07,農,,,1130813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1633308,5480,,0.0,0,,RPQNMLNKQHJGFAU96DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市國興一街９５號八樓之十六,7.44,都市：其他:倉儲區,,,1130809,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0810930,28.45,1,0,1,有,有,1680000,59051,,0.0,0,,RPRNMLKLQHJGFAU86DA,20.13,0.0,0.0,有,0005
花蓮市,房地(土地+建物),花蓮縣花蓮市國興四街１５號,124.0,住,,,1130805,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0730124,256.48,7,2,6,有,無,10500000,40939,,0.0,0,頂樓加蓋；,RPPNMLNKQHJGFAU86DA,256.48,0.0,0.0,無,
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中山路一段４６７號,101.82,,一般農業區,甲種建築用地,1130818,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0720310,102.98,6,1,2,有,無,2440000,23694,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPVNMLLLQHJGFAU37DA,102.98,0.0,0.0,無,0006
